1686400764.424725 Coordinates x=343 px, y=1676 px
1686400764.4409864 Coordinates x=341 px, y=1678 px
1686400764.455466 Coordinates x=341 px, y=1678 px
1686400764.4712667 Coordinates x=341 px, y=1678 px
1686400764.486725 Coordinates x=341 px, y=1678 px
1686400764.5023851 Coordinates x=964 px, y=1521 px
1686400764.5175645 Coordinates x=964 px, y=1521 px
1686400764.5328958 Coordinates x=964 px, y=1521 px
1686400764.5482903 Coordinates x=1217 px, y=1426 px
1686400764.5637653 Coordinates x=1217 px, y=1426 px
1686400764.5798604 Coordinates x=1269 px, y=1375 px
1686400764.5948787 Coordinates x=1269 px, y=1375 px
1686400764.610454 Coordinates x=1339 px, y=1300 px
1686400764.6261601 Coordinates x=1339 px, y=1300 px
1686400764.6424599 Coordinates x=1362 px, y=1283 px
1686400764.657682 Coordinates x=1362 px, y=1283 px
1686400764.672953 Coordinates x=1367 px, y=1277 px
1686400764.6890442 Coordinates x=1367 px, y=1277 px
1686400764.7043486 Coordinates x=1373 px, y=1274 px
1686400764.7203896 Coordinates x=1373 px, y=1274 px
1686400764.735679 Coordinates x=1378 px, y=1273 px
1686400764.7510667 Coordinates x=1378 px, y=1273 px
1686400764.7664173 Coordinates x=1386 px, y=1276 px
1686400764.7825615 Coordinates x=1386 px, y=1276 px
1686400764.7972257 Coordinates x=1386 px, y=1276 px
1686400764.8128848 Coordinates x=1392 px, y=1280 px
1686400764.828224 Coordinates x=1392 px, y=1280 px
1686400764.843719 Coordinates x=1403 px, y=1282 px
1686400764.8596075 Coordinates x=1403 px, y=1282 px
1686400764.8751218 Coordinates x=1420 px, y=1278 px
1686400764.8904512 Coordinates x=1420 px, y=1278 px
1686400764.9061866 Coordinates x=1435 px, y=1268 px
1686400764.9218783 Coordinates x=1435 px, y=1268 px
1686400764.9376817 Coordinates x=1441 px, y=1266 px
1686400764.9536297 Coordinates x=1441 px, y=1266 px
1686400764.969981 Coordinates x=1464 px, y=1261 px
1686400764.986012 Coordinates x=1464 px, y=1261 px
1686400765.0014622 Coordinates x=1487 px, y=1250 px
1686400765.0172462 Coordinates x=1487 px, y=1250 px
1686400765.0328367 Coordinates x=1518 px, y=1230 px
1686400765.0487535 Coordinates x=1518 px, y=1230 px
1686400765.0646348 Coordinates x=1518 px, y=1230 px
1686400765.0800502 Coordinates x=1532 px, y=1216 px
1686400765.095628 Coordinates x=1532 px, y=1216 px
1686400765.1105478 Coordinates x=1532 px, y=1202 px
1686400765.1258094 Coordinates x=1532 px, y=1202 px
1686400765.1418033 Coordinates x=1410 px, y=1111 px
1686400765.1571743 Coordinates x=1410 px, y=1111 px
1686400765.1729436 Coordinates x=1178 px, y=998 px
1686400765.1887019 Coordinates x=1178 px, y=998 px
1686400765.2038794 Coordinates x=1067 px, y=938 px
1686400765.218916 Coordinates x=1067 px, y=938 px
1686400765.2346613 Coordinates x=1037 px, y=911 px
1686400765.2498145 Coordinates x=1037 px, y=911 px
1686400765.265994 Coordinates x=995 px, y=876 px
1686400765.2804627 Coordinates x=995 px, y=876 px
1686400765.295775 Coordinates x=950 px, y=845 px
1686400765.312102 Coordinates x=950 px, y=845 px
1686400765.327705 Coordinates x=950 px, y=845 px
1686400765.3428566 Coordinates x=713 px, y=812 px
1686400765.3579926 Coordinates x=713 px, y=812 px
1686400765.3739886 Coordinates x=594 px, y=808 px
1686400765.3886657 Coordinates x=594 px, y=808 px
1686400765.4042244 Coordinates x=543 px, y=805 px
1686400765.419964 Coordinates x=543 px, y=805 px
1686400765.435473 Coordinates x=514 px, y=810 px
1686400765.4506505 Coordinates x=514 px, y=810 px
1686400765.4666374 Coordinates x=508 px, y=811 px
1686400765.4826174 Coordinates x=508 px, y=811 px
1686400765.4978485 Coordinates x=498 px, y=810 px
1686400765.513477 Coordinates x=498 px, y=810 px
1686400765.5290527 Coordinates x=498 px, y=810 px
1686400765.5452523 Coordinates x=481 px, y=808 px
1686400765.5609071 Coordinates x=481 px, y=808 px
1686400765.5767922 Coordinates x=467 px, y=810 px
1686400765.5924382 Coordinates x=467 px, y=810 px
1686400765.6077325 Coordinates x=452 px, y=810 px
1686400765.6235957 Coordinates x=452 px, y=810 px
1686400765.6394954 Coordinates x=438 px, y=809 px
