1686483214.1226094 Coordinates x=509 px, y=182 px
1686483214.1373148 Coordinates x=509 px, y=182 px
1686483214.1524413 Coordinates x=519 px, y=171 px
1686483214.1675942 Coordinates x=519 px, y=171 px
1686483214.1869502 Coordinates x=518 px, y=151 px
1686483214.2027767 Coordinates x=518 px, y=151 px
1686483214.2183967 Coordinates x=490 px, y=110 px
1686483214.2340016 Coordinates x=490 px, y=110 px
1686483214.2496636 Coordinates x=411 px, y=69 px
1686483214.2653015 Coordinates x=411 px, y=69 px
1686483214.2811275 Coordinates x=363 px, y=44 px
1686483214.296798 Coordinates x=363 px, y=44 px
1686483214.3125916 Coordinates x=363 px, y=44 px
1686483214.328217 Coordinates x=363 px, y=44 px
1686483214.3440192 Coordinates x=363 px, y=44 px
1686483214.3598907 Coordinates x=363 px, y=44 px
1686483214.375838 Coordinates x=363 px, y=44 px
1686483214.3916981 Coordinates x=330 px, y=31 px
1686483214.407309 Coordinates x=306 px, y=24 px
1686483214.4228575 Coordinates x=290 px, y=19 px
1686483214.4384184 Coordinates x=273 px, y=15 px
1686483214.454057 Coordinates x=264 px, y=13 px
1686483214.4698126 Coordinates x=264 px, y=13 px
1686483214.4861386 Coordinates x=242 px, y=10 px
1686483214.5020268 Coordinates x=242 px, y=10 px
1686483214.5176215 Coordinates x=222 px, y=7 px
1686483214.53311 Coordinates x=222 px, y=7 px
1686483214.5488844 Coordinates x=201 px, y=6 px
1686483214.5644968 Coordinates x=201 px, y=6 px
1686483214.58039 Coordinates x=180 px, y=4 px
1686483214.5962694 Coordinates x=180 px, y=4 px
1686483214.6118925 Coordinates x=180 px, y=4 px
1686483214.627505 Coordinates x=161 px, y=4 px
1686483214.6431136 Coordinates x=161 px, y=4 px
1686483214.6587572 Coordinates x=146 px, y=3 px
1686483214.6746476 Coordinates x=146 px, y=3 px
1686483214.690529 Coordinates x=134 px, y=3 px
1686483214.7061157 Coordinates x=134 px, y=3 px
1686483214.7216988 Coordinates x=123 px, y=2 px
1686483214.737323 Coordinates x=123 px, y=2 px
1686483214.753023 Coordinates x=115 px, y=2 px
1686483214.768642 Coordinates x=115 px, y=2 px
1686483214.784993 Coordinates x=136 px, y=1 px
1686483214.8008833 Coordinates x=136 px, y=1 px
1686483214.8164895 Coordinates x=247 px, y=0 px
1686483214.8319342 Coordinates x=247 px, y=0 px
1686483214.847744 Coordinates x=728 px, y=0 px
1686483214.8632038 Coordinates x=728 px, y=0 px
1686483214.8790572 Coordinates x=728 px, y=0 px
1686483214.8948343 Coordinates x=762 px, y=0 px
1686483214.910521 Coordinates x=762 px, y=0 px
1686483214.926139 Coordinates x=781 px, y=0 px
1686483214.9417734 Coordinates x=781 px, y=0 px
1686483214.9573307 Coordinates x=781 px, y=0 px
1686483214.9736273 Coordinates x=781 px, y=0 px
1686483214.9894629 Coordinates x=770 px, y=0 px
1686483215.005028 Coordinates x=770 px, y=0 px
1686483215.0207136 Coordinates x=758 px, y=0 px
1686483215.0363762 Coordinates x=758 px, y=0 px
1686483215.0518517 Coordinates x=749 px, y=0 px
1686483215.067634 Coordinates x=749 px, y=0 px
1686483215.083944 Coordinates x=749 px, y=0 px
1686483215.0998309 Coordinates x=749 px, y=0 px
1686483215.1154242 Coordinates x=749 px, y=0 px
1686483215.1310449 Coordinates x=749 px, y=0 px
1686483215.1466653 Coordinates x=749 px, y=0 px
1686483215.1622915 Coordinates x=749 px, y=0 px
1686483215.178197 Coordinates x=749 px, y=0 px
1686483215.1940477 Coordinates x=749 px, y=0 px
1686483215.2096941 Coordinates x=749 px, y=0 px
1686483215.2253184 Coordinates x=749 px, y=0 px
1686483215.2409627 Coordinates x=749 px, y=0 px
1686483215.256542 Coordinates x=749 px, y=0 px
1686483215.272101 Coordinates x=749 px, y=0 px
1686483215.2883036 Coordinates x=749 px, y=0 px
1686483215.3041139 Coordinates x=749 px, y=0 px
1686483215.3198044 Coordinates x=749 px, y=0 px
1686483215.3354104 Coordinates x=749 px, y=0 px
1686483215.3510292 Coordinates x=749 px, y=0 px
1686483215.3666966 Coordinates x=749 px, y=0 px
1686483215.382655 Coordinates x=749 px, y=0 px
1686483215.3985295 Coordinates x=749 px, y=0 px
1686483215.4141748 Coordinates x=749 px, y=0 px
1686483215.4297974 Coordinates x=749 px, y=0 px
1686483215.4454176 Coordinates x=749 px, y=0 px
1686483215.4609458 Coordinates x=749 px, y=0 px
1686483215.476724 Coordinates x=749 px, y=0 px
1686483215.4925928 Coordinates x=749 px, y=0 px
1686483215.5080645 Coordinates x=749 px, y=0 px
1686483215.523826 Coordinates x=749 px, y=0 px
1686483215.539387 Coordinates x=735 px, y=0 px
1686483215.7125344 Coordinates x=717 px, y=0 px
1686483215.7282887 Coordinates x=698 px, y=0 px
1686483215.7437377 Coordinates x=680 px, y=0 px
1686483215.7593875 Coordinates x=668 px, y=0 px
1686483215.7755327 Coordinates x=656 px, y=0 px
1686483215.791216 Coordinates x=1033 px, y=0 px
1686483215.8068473 Coordinates x=1033 px, y=0 px
1686483215.822475 Coordinates x=1037 px, y=0 px
1686483215.8380933 Coordinates x=1037 px, y=0 px
1686483215.8537118 Coordinates x=1040 px, y=0 px
1686483215.8693469 Coordinates x=1040 px, y=0 px
1686483215.8854957 Coordinates x=1041 px, y=0 px
1686483215.9011931 Coordinates x=1041 px, y=0 px
1686483215.9168189 Coordinates x=1041 px, y=0 px
1686483215.9324408 Coordinates x=1041 px, y=0 px
1686483215.9480972 Coordinates x=1041 px, y=0 px
1686483215.9637766 Coordinates x=1041 px, y=0 px
1686483215.979563 Coordinates x=1041 px, y=0 px
1686483215.995212 Coordinates x=1041 px, y=0 px
1686483216.0108335 Coordinates x=1041 px, y=0 px
1686483216.0265918 Coordinates x=1041 px, y=0 px
1686483216.0422833 Coordinates x=1041 px, y=0 px
1686483216.0577812 Coordinates x=1041 px, y=0 px
1686483216.0735369 Coordinates x=1041 px, y=0 px
1686483216.0893805 Coordinates x=1041 px, y=0 px
1686483216.1050677 Coordinates x=1041 px, y=0 px
1686483216.1208 Coordinates x=1041 px, y=0 px
1686483216.1364737 Coordinates x=1041 px, y=0 px
1686483216.152137 Coordinates x=1041 px, y=0 px
1686483216.1677573 Coordinates x=1041 px, y=0 px
1686483216.1836941 Coordinates x=1041 px, y=0 px
1686483216.1994708 Coordinates x=1041 px, y=0 px
1686483216.2151434 Coordinates x=1077 px, y=0 px
1686483216.2306104 Coordinates x=1077 px, y=0 px
1686483216.2464123 Coordinates x=1134 px, y=0 px
1686483216.262079 Coordinates x=1134 px, y=0 px
1686483216.2780557 Coordinates x=1134 px, y=0 px
1686483216.293934 Coordinates x=1182 px, y=0 px
1686483216.3095624 Coordinates x=1182 px, y=0 px
1686483216.3251808 Coordinates x=1215 px, y=0 px
1686483216.3406456 Coordinates x=1215 px, y=0 px
1686483216.356241 Coordinates x=1235 px, y=0 px
1686483216.3718488 Coordinates x=1235 px, y=0 px
1686483216.3880458 Coordinates x=1247 px, y=0 px
1686483216.4039083 Coordinates x=1247 px, y=0 px
1686483216.4195302 Coordinates x=1259 px, y=0 px
1686483216.4351377 Coordinates x=1259 px, y=0 px
1686483216.4508107 Coordinates x=1271 px, y=0 px
1686483216.466337 Coordinates x=1271 px, y=0 px
1686483216.4824095 Coordinates x=1271 px, y=0 px
1686483216.4982748 Coordinates x=1284 px, y=2 px
1686483216.5138853 Coordinates x=1310 px, y=22 px
1686483216.5295208 Coordinates x=1310 px, y=22 px
1686483216.5451314 Coordinates x=1310 px, y=22 px
1686483216.5606575 Coordinates x=1561 px, y=191 px
1686483216.576264 Coordinates x=1561 px, y=191 px
1686483216.5921018 Coordinates x=1576 px, y=197 px
1686483216.6077423 Coordinates x=1587 px, y=199 px
1686483216.6233575 Coordinates x=1587 px, y=199 px
1686483216.638837 Coordinates x=1587 px, y=199 px
1686483216.6545167 Coordinates x=1626 px, y=206 px
1686483216.6702836 Coordinates x=1626 px, y=206 px
1686483216.6863015 Coordinates x=1645 px, y=211 px
1686483216.702189 Coordinates x=1645 px, y=211 px
1686483216.7178066 Coordinates x=1654 px, y=213 px
1686483216.7334323 Coordinates x=1654 px, y=213 px
1686483216.7490609 Coordinates x=1663 px, y=214 px
1686483216.7646875 Coordinates x=1663 px, y=214 px
