1687689680.4763262 Coordinates x=9 px, y=1018 px
1687689680.4913988 Coordinates x=9 px, y=1018 px
1687689680.5111117 Coordinates x=9 px, y=1018 px
1687689680.5263476 Coordinates x=8 px, y=1016 px
1687689680.5415547 Coordinates x=8 px, y=1016 px
1687689680.5587204 Coordinates x=7 px, y=1011 px
1687689680.5746894 Coordinates x=7 px, y=1011 px
1687689680.5905707 Coordinates x=6 px, y=1006 px
1687689680.606173 Coordinates x=6 px, y=1006 px
1687689680.6217926 Coordinates x=6 px, y=1006 px
1687689680.637414 Coordinates x=6 px, y=1006 px
1687689680.6530478 Coordinates x=6 px, y=1004 px
1687689680.6684594 Coordinates x=6 px, y=1004 px
1687689680.6845179 Coordinates x=5 px, y=1003 px
1687689680.7003748 Coordinates x=5 px, y=1003 px
1687689680.7159817 Coordinates x=5 px, y=1002 px
1687689680.731581 Coordinates x=5 px, y=1002 px
1687689680.7472012 Coordinates x=5 px, y=1003 px
1687689680.7627807 Coordinates x=5 px, y=1003 px
1687689680.7790017 Coordinates x=5 px, y=1003 px
1687689680.7947538 Coordinates x=5 px, y=1003 px
1687689680.8103657 Coordinates x=5 px, y=1004 px
1687689680.8260944 Coordinates x=5 px, y=1004 px
1687689680.8415236 Coordinates x=5 px, y=1004 px
1687689680.8573294 Coordinates x=2 px, y=891 px
1687689680.872951 Coordinates x=2 px, y=891 px
1687689680.888792 Coordinates x=157 px, y=574 px
1687689680.9046311 Coordinates x=157 px, y=574 px
1687689680.9202619 Coordinates x=214 px, y=476 px
1687689680.9357998 Coordinates x=214 px, y=476 px
1687689680.9514747 Coordinates x=245 px, y=403 px
1687689680.9670858 Coordinates x=245 px, y=403 px
1687689680.983019 Coordinates x=259 px, y=379 px
1687689680.9988594 Coordinates x=259 px, y=379 px
1687689681.0144656 Coordinates x=274 px, y=362 px
1687689681.0301034 Coordinates x=274 px, y=362 px
1687689681.045878 Coordinates x=277 px, y=347 px
1687689681.0613413 Coordinates x=277 px, y=347 px
1687689681.0765839 Coordinates x=277 px, y=327 px
1687689681.0917535 Coordinates x=277 px, y=327 px
1687689681.1078107 Coordinates x=277 px, y=327 px
1687689681.1231883 Coordinates x=276 px, y=312 px
1687689681.1392617 Coordinates x=276 px, y=312 px
1687689681.1552675 Coordinates x=271 px, y=303 px
1687689681.175962 Coordinates x=271 px, y=303 px
1687689681.1915514 Coordinates x=262 px, y=293 px
1687689681.2071965 Coordinates x=262 px, y=293 px
1687689681.2252984 Coordinates x=252 px, y=280 px
1687689681.2405777 Coordinates x=252 px, y=280 px
1687689681.2559443 Coordinates x=233 px, y=270 px
1687689681.2756078 Coordinates x=233 px, y=270 px
1687689681.2910569 Coordinates x=209 px, y=265 px
1687689681.3065076 Coordinates x=209 px, y=265 px
1687689681.3225372 Coordinates x=181 px, y=259 px
1687689681.338624 Coordinates x=181 px, y=259 px
1687689681.3540676 Coordinates x=167 px, y=252 px
1687689681.3699281 Coordinates x=167 px, y=252 px
1687689681.392252 Coordinates x=152 px, y=251 px
