1687079866.9061725 Coordinates x=532 px, y=257 px
1687079866.9217105 Coordinates x=532 px, y=257 px
1687079866.937775 Coordinates x=532 px, y=258 px
1687079866.9538598 Coordinates x=532 px, y=258 px
1687079866.9692364 Coordinates x=536 px, y=260 px
1687079866.9847565 Coordinates x=536 px, y=260 px
1687079867.0003726 Coordinates x=536 px, y=260 px
1687079867.0157192 Coordinates x=538 px, y=261 px
1687079867.0308058 Coordinates x=538 px, y=261 px
1687079867.046195 Coordinates x=539 px, y=261 px
1687079867.062167 Coordinates x=539 px, y=261 px
1687079867.0779417 Coordinates x=539 px, y=261 px
1687079867.093076 Coordinates x=539 px, y=261 px
1687079867.1086118 Coordinates x=541 px, y=260 px
1687079867.124022 Coordinates x=541 px, y=260 px
1687079867.1392236 Coordinates x=541 px, y=260 px
1687079867.1554282 Coordinates x=541 px, y=260 px
1687079867.170879 Coordinates x=541 px, y=260 px
1687079867.1869533 Coordinates x=544 px, y=257 px
1687079867.2024322 Coordinates x=545 px, y=257 px
1687079867.2190104 Coordinates x=545 px, y=257 px
1687079867.2343276 Coordinates x=545 px, y=257 px
1687079867.2501922 Coordinates x=540 px, y=257 px
1687079867.2662807 Coordinates x=512 px, y=255 px
1687079867.281679 Coordinates x=512 px, y=255 px
1687079867.2974138 Coordinates x=512 px, y=255 px
1687079867.3128572 Coordinates x=476 px, y=254 px
1687079867.3279605 Coordinates x=476 px, y=254 px
1687079867.3431833 Coordinates x=440 px, y=255 px
1687079867.3586557 Coordinates x=440 px, y=255 px
1687079867.37434 Coordinates x=430 px, y=257 px
1687079867.3900917 Coordinates x=430 px, y=257 px
1687079867.405901 Coordinates x=418 px, y=259 px
1687079867.4215817 Coordinates x=418 px, y=259 px
1687079867.4366126 Coordinates x=406 px, y=258 px
1687079867.4521606 Coordinates x=406 px, y=258 px
1687079867.4676125 Coordinates x=409 px, y=259 px
1687079867.4835074 Coordinates x=409 px, y=259 px
1687079867.498561 Coordinates x=460 px, y=255 px
1687079867.5144448 Coordinates x=460 px, y=255 px
1687079867.5305247 Coordinates x=524 px, y=253 px
1687079867.5458968 Coordinates x=524 px, y=253 px
1687079867.5609682 Coordinates x=524 px, y=253 px
1687079867.5764482 Coordinates x=524 px, y=253 px
1687079867.591561 Coordinates x=543 px, y=253 px
1687079867.6074681 Coordinates x=569 px, y=245 px
1687079867.623119 Coordinates x=569 px, y=245 px
1687079867.6389072 Coordinates x=610 px, y=238 px
1687079867.654746 Coordinates x=610 px, y=238 px
1687079867.6698337 Coordinates x=632 px, y=237 px
1687079867.6858554 Coordinates x=632 px, y=237 px
1687079867.7017658 Coordinates x=785 px, y=237 px
