1686492972.6473608 Coordinates x=96 px, y=1571 px
1686492972.6683776 Coordinates x=96 px, y=1571 px
1686492972.6840005 Coordinates x=96 px, y=1571 px
1686492972.6999915 Coordinates x=97 px, y=1571 px
1686492972.7158444 Coordinates x=97 px, y=1571 px
1686492972.731446 Coordinates x=97 px, y=1571 px
1686492972.7470634 Coordinates x=97 px, y=1571 px
1686492972.7626693 Coordinates x=98 px, y=1571 px
1686492972.7782466 Coordinates x=98 px, y=1571 px
1686492972.7939317 Coordinates x=102 px, y=1570 px
1686492972.8101754 Coordinates x=102 px, y=1570 px
1686492972.8259323 Coordinates x=102 px, y=1570 px
1686492972.8414512 Coordinates x=102 px, y=1570 px
1686492972.8571763 Coordinates x=103 px, y=1571 px
1686492972.8728027 Coordinates x=103 px, y=1571 px
1686492972.8884335 Coordinates x=103 px, y=1571 px
1686492972.904179 Coordinates x=103 px, y=1571 px
1686492972.9198315 Coordinates x=103 px, y=1571 px
1686492972.9355583 Coordinates x=103 px, y=1572 px
1686492972.9499085 Coordinates x=103 px, y=1572 px
1686492972.965334 Coordinates x=103 px, y=1573 px
1686492972.9813285 Coordinates x=103 px, y=1573 px
1686492973.001351 Coordinates x=103 px, y=1574 px
1686492973.0170171 Coordinates x=103 px, y=1574 px
1686492973.0326347 Coordinates x=104 px, y=1574 px
1686492973.0482433 Coordinates x=104 px, y=1574 px
1686492973.0638871 Coordinates x=104 px, y=1574 px
1686492973.0796041 Coordinates x=104 px, y=1574 px
1686492973.0952246 Coordinates x=105 px, y=1574 px
1686492973.111422 Coordinates x=105 px, y=1574 px
1686492973.127069 Coordinates x=106 px, y=1574 px
1686492973.1426976 Coordinates x=106 px, y=1574 px
1686492973.1584625 Coordinates x=258 px, y=1462 px
1686492973.1739476 Coordinates x=258 px, y=1462 px
1686492973.1897674 Coordinates x=589 px, y=1126 px
1686492973.2057195 Coordinates x=589 px, y=1126 px
1686492973.2214658 Coordinates x=589 px, y=1126 px
1686492973.2369952 Coordinates x=646 px, y=1066 px
1686492973.2527108 Coordinates x=646 px, y=1066 px
1686492973.2684422 Coordinates x=695 px, y=1007 px
1686492973.284075 Coordinates x=695 px, y=1007 px
1686492973.2999942 Coordinates x=713 px, y=975 px
1686492973.3158298 Coordinates x=713 px, y=975 px
1686492973.3314645 Coordinates x=726 px, y=952 px
1686492973.3469179 Coordinates x=726 px, y=952 px
1686492973.362513 Coordinates x=739 px, y=930 px
1686492973.3781354 Coordinates x=739 px, y=930 px
1686492973.3939283 Coordinates x=750 px, y=920 px
1686492973.4097877 Coordinates x=750 px, y=920 px
1686492973.4255972 Coordinates x=762 px, y=902 px
1686492973.4411647 Coordinates x=762 px, y=902 px
1686492973.4568925 Coordinates x=813 px, y=817 px
1686492973.4725144 Coordinates x=813 px, y=817 px
1686492973.4881396 Coordinates x=813 px, y=817 px
1686492973.5040278 Coordinates x=865 px, y=747 px
1686492973.5196764 Coordinates x=865 px, y=747 px
1686492973.5353997 Coordinates x=885 px, y=720 px
1686492973.5510428 Coordinates x=885 px, y=720 px
1686492973.5666478 Coordinates x=895 px, y=703 px
1686492973.582383 Coordinates x=895 px, y=703 px
1686492973.5977812 Coordinates x=901 px, y=681 px
1686492973.6185858 Coordinates x=901 px, y=681 px
1686492973.6342561 Coordinates x=910 px, y=668 px
1686492973.6497884 Coordinates x=910 px, y=668 px
1686492973.6652753 Coordinates x=919 px, y=662 px
1686492973.6810377 Coordinates x=919 px, y=662 px
1686492973.6967757 Coordinates x=927 px, y=654 px
1686492973.712522 Coordinates x=927 px, y=654 px
1686492973.7278044 Coordinates x=945 px, y=645 px
1686492973.7519386 Coordinates x=945 px, y=645 px
1686492973.7676725 Coordinates x=1033 px, y=635 px
1686492973.7837207 Coordinates x=1033 px, y=635 px
1686492973.8007643 Coordinates x=1128 px, y=632 px
1686492973.816328 Coordinates x=1128 px, y=632 px
1686492973.831552 Coordinates x=1166 px, y=630 px
1686492973.8515716 Coordinates x=1166 px, y=630 px
1686492973.8673491 Coordinates x=1189 px, y=630 px
1686492973.8831909 Coordinates x=1189 px, y=630 px
1686492973.8988788 Coordinates x=1209 px, y=631 px
1686492973.9146833 Coordinates x=1209 px, y=631 px
1686492973.9303424 Coordinates x=1221 px, y=630 px
1686492973.9459763 Coordinates x=1221 px, y=630 px
1686492973.9615986 Coordinates x=1228 px, y=629 px
1686492973.9770486 Coordinates x=1228 px, y=629 px
1686492973.9928553 Coordinates x=1223 px, y=626 px
1686492974.0087879 Coordinates x=1223 px, y=626 px
1686492974.0246284 Coordinates x=1223 px, y=626 px
1686492974.0402577 Coordinates x=806 px, y=621 px
1686492974.0557926 Coordinates x=806 px, y=621 px
1686492974.0715036 Coordinates x=731 px, y=624 px
1686492974.0870428 Coordinates x=731 px, y=624 px
1686492974.1028996 Coordinates x=660 px, y=614 px
1686492974.1186836 Coordinates x=660 px, y=614 px
1686492974.1343253 Coordinates x=626 px, y=610 px
1686492974.1499746 Coordinates x=626 px, y=610 px
1686492974.165576 Coordinates x=592 px, y=605 px
1686492974.1812468 Coordinates x=592 px, y=605 px
1686492974.1968856 Coordinates x=569 px, y=602 px
1686492974.2129807 Coordinates x=569 px, y=602 px
1686492974.2288308 Coordinates x=569 px, y=602 px
1686492974.244451 Coordinates x=550 px, y=596 px
1686492974.2600832 Coordinates x=546 px, y=591 px
1686492974.275704 Coordinates x=546 px, y=591 px
1686492974.2913213 Coordinates x=546 px, y=591 px
1686492974.3072429 Coordinates x=544 px, y=587 px
1686492974.3230953 Coordinates x=544 px, y=587 px
1686492974.3386867 Coordinates x=543 px, y=587 px
1686492974.3543222 Coordinates x=543 px, y=587 px
1686492974.369872 Coordinates x=543 px, y=587 px
1686492974.3855164 Coordinates x=543 px, y=587 px
1686492974.400725 Coordinates x=543 px, y=587 px
1686492974.416565 Coordinates x=719 px, y=997 px
1686492974.4321923 Coordinates x=933 px, y=1639 px
1686492974.4478083 Coordinates x=933 px, y=1639 px
1686492974.4634619 Coordinates x=988 px, y=1703 px
1686492974.4790788 Coordinates x=988 px, y=1703 px
1686492974.4946604 Coordinates x=1021 px, y=1735 px
1686492974.5105343 Coordinates x=1021 px, y=1735 px
1686492974.5263767 Coordinates x=1021 px, y=1735 px
1686492974.5420206 Coordinates x=1049 px, y=1753 px
1686492974.5576375 Coordinates x=1049 px, y=1753 px
1686492974.5732563 Coordinates x=1067 px, y=1763 px
1686492974.588874 Coordinates x=1067 px, y=1763 px
1686492974.604806 Coordinates x=1085 px, y=1771 px
1686492974.6205945 Coordinates x=1085 px, y=1771 px
1686492974.636174 Coordinates x=1097 px, y=1776 px
1686492974.6518834 Coordinates x=1097 px, y=1776 px
1686492974.6674953 Coordinates x=1104 px, y=1779 px
1686492974.6831267 Coordinates x=1104 px, y=1779 px
1686492974.698743 Coordinates x=1072 px, y=1785 px
1686492974.9805121 Coordinates x=1072 px, y=1785 px
1686492974.9961464 Coordinates x=1104 px, y=1657 px
1686492975.0119584 Coordinates x=1104 px, y=1657 px
1686492975.027818 Coordinates x=1197 px, y=1447 px
1686492975.0433435 Coordinates x=1197 px, y=1447 px
1686492975.0590386 Coordinates x=1212 px, y=1392 px
1686492975.074655 Coordinates x=1212 px, y=1392 px
1686492975.0903106 Coordinates x=1212 px, y=1392 px
1686492975.1067693 Coordinates x=1223 px, y=1362 px
1686492975.1225426 Coordinates x=1223 px, y=1362 px
1686492975.1384153 Coordinates x=1234 px, y=1342 px
1686492975.1539917 Coordinates x=1234 px, y=1342 px
1686492975.1695766 Coordinates x=1238 px, y=1330 px
1686492975.1852882 Coordinates x=1238 px, y=1330 px
1686492975.2009158 Coordinates x=1238 px, y=1327 px
1686492975.216827 Coordinates x=1238 px, y=1327 px
1686492975.2327042 Coordinates x=1239 px, y=1326 px
1686492975.2483466 Coordinates x=1239 px, y=1326 px
1686492975.263956 Coordinates x=1240 px, y=1324 px
1686492975.2795699 Coordinates x=1240 px, y=1324 px
1686492975.2952023 Coordinates x=1243 px, y=1324 px
1686492975.3109457 Coordinates x=1243 px, y=1324 px
1686492975.3268049 Coordinates x=1243 px, y=1324 px
1686492975.3424459 Coordinates x=1247 px, y=1322 px
1686492975.357882 Coordinates x=1247 px, y=1322 px
1686492975.3737135 Coordinates x=1252 px, y=1319 px
1686492975.3893218 Coordinates x=1252 px, y=1319 px
1686492975.4052098 Coordinates x=1255 px, y=1317 px
1686492975.421052 Coordinates x=1255 px, y=1317 px
1686492975.4366124 Coordinates x=1257 px, y=1316 px
1686492975.4522674 Coordinates x=1257 px, y=1316 px
1686492975.467972 Coordinates x=1258 px, y=1316 px
1686492975.483569 Coordinates x=1258 px, y=1316 px
1686492975.4991715 Coordinates x=1260 px, y=1314 px
1686492975.5150366 Coordinates x=1260 px, y=1314 px
1686492975.5308793 Coordinates x=1260 px, y=1313 px
1686492975.5463135 Coordinates x=1260 px, y=1313 px
1686492975.5621705 Coordinates x=1263 px, y=1310 px
1686492975.5776963 Coordinates x=1263 px, y=1310 px
1686492975.5932457 Coordinates x=1266 px, y=1308 px
1686492975.609419 Coordinates x=1266 px, y=1308 px
1686492975.6252918 Coordinates x=1266 px, y=1308 px
1686492975.6409123 Coordinates x=1267 px, y=1308 px
1686492975.6565528 Coordinates x=1267 px, y=1308 px
1686492975.6721802 Coordinates x=1267 px, y=1308 px
1686492975.687754 Coordinates x=1267 px, y=1308 px
1686492975.7039063 Coordinates x=1169 px, y=1286 px
1686492975.7196846 Coordinates x=1169 px, y=1286 px
1686492975.735384 Coordinates x=774 px, y=1190 px
1686492975.751013 Coordinates x=774 px, y=1190 px
1686492975.7666256 Coordinates x=751 px, y=1176 px
1686492975.7822871 Coordinates x=751 px, y=1176 px
1686492975.7979047 Coordinates x=716 px, y=1159 px
1686492975.813907 Coordinates x=716 px, y=1159 px
1686492975.8298008 Coordinates x=683 px, y=1139 px
1686492975.8453088 Coordinates x=683 px, y=1139 px
1686492975.861047 Coordinates x=663 px, y=1130 px
1686492975.876517 Coordinates x=663 px, y=1130 px
1686492975.892306 Coordinates x=651 px, y=1125 px
1686492975.9082778 Coordinates x=651 px, y=1125 px
1686492975.9239368 Coordinates x=651 px, y=1125 px
1686492975.9395006 Coordinates x=645 px, y=1121 px
1686492975.9546857 Coordinates x=645 px, y=1121 px
1686492975.9704905 Coordinates x=639 px, y=1117 px
1686492975.9862761 Coordinates x=639 px, y=1117 px
1686492976.0009956 Coordinates x=635 px, y=1113 px
1686492976.0162988 Coordinates x=635 px, y=1113 px
1686492976.0323272 Coordinates x=631 px, y=1111 px
1686492976.0474677 Coordinates x=631 px, y=1111 px
1686492976.0681221 Coordinates x=627 px, y=1107 px
1686492976.0833418 Coordinates x=627 px, y=1107 px
1686492976.0990856 Coordinates x=623 px, y=1101 px
1686492976.1143456 Coordinates x=623 px, y=1101 px
1686492976.1295543 Coordinates x=623 px, y=1101 px
1686492976.1457462 Coordinates x=619 px, y=1100 px
1686492976.1679635 Coordinates x=619 px, y=1100 px
