1687011657.191465 Coordinates x=265 px, y=246 px
1687011657.2123652 Coordinates x=266 px, y=243 px
1687011657.2283778 Coordinates x=266 px, y=243 px
1687011657.2438562 Coordinates x=272 px, y=232 px
1687011657.259956 Coordinates x=272 px, y=232 px
1687011657.2756667 Coordinates x=274 px, y=226 px
1687011657.2912161 Coordinates x=274 px, y=226 px
1687011657.3063061 Coordinates x=279 px, y=219 px
1687011657.322098 Coordinates x=279 px, y=219 px
1687011657.3374703 Coordinates x=283 px, y=212 px
1687011657.3532283 Coordinates x=283 px, y=212 px
1687011657.3684206 Coordinates x=287 px, y=209 px
1687011657.3842335 Coordinates x=287 px, y=209 px
1687011657.3992503 Coordinates x=290 px, y=209 px
1687011657.4145715 Coordinates x=290 px, y=209 px
1687011657.4308355 Coordinates x=290 px, y=209 px
1687011657.446743 Coordinates x=292 px, y=208 px
1687011657.4625664 Coordinates x=292 px, y=208 px
1687011657.4774778 Coordinates x=293 px, y=208 px
1687011657.4933984 Coordinates x=293 px, y=208 px
1687011657.5086715 Coordinates x=295 px, y=207 px
1687011657.5246456 Coordinates x=295 px, y=207 px
1687011657.5402062 Coordinates x=297 px, y=205 px
1687011657.5558083 Coordinates x=297 px, y=205 px
1687011657.5719705 Coordinates x=300 px, y=203 px
1687011657.5881078 Coordinates x=300 px, y=203 px
1687011657.6040018 Coordinates x=309 px, y=198 px
1687011657.6193433 Coordinates x=309 px, y=198 px
1687011657.6348615 Coordinates x=309 px, y=198 px
1687011657.6499887 Coordinates x=315 px, y=196 px
1687011657.6661932 Coordinates x=315 px, y=196 px
1687011657.68153 Coordinates x=305 px, y=202 px
1687011657.6974442 Coordinates x=305 px, y=202 px
1687011657.7131767 Coordinates x=248 px, y=238 px
1687011657.7282867 Coordinates x=248 px, y=238 px
1687011657.7444248 Coordinates x=202 px, y=273 px
1687011657.7597692 Coordinates x=202 px, y=273 px
1687011657.7754147 Coordinates x=179 px, y=288 px
1687011657.7908838 Coordinates x=179 px, y=288 px
1687011657.8066502 Coordinates x=161 px, y=300 px
1687011657.8217762 Coordinates x=161 px, y=300 px
1687011657.8379257 Coordinates x=138 px, y=307 px
1687011657.8535564 Coordinates x=138 px, y=307 px
1687011657.8692822 Coordinates x=102 px, y=323 px
1687011657.884586 Coordinates x=102 px, y=323 px
1687011657.900769 Coordinates x=102 px, y=323 px
1687011657.916926 Coordinates x=83 px, y=334 px
1687011657.9324389 Coordinates x=83 px, y=334 px
1687011657.9484482 Coordinates x=75 px, y=340 px
1687011657.9639068 Coordinates x=75 px, y=340 px
1687011657.9794354 Coordinates x=73 px, y=340 px
1687011657.995364 Coordinates x=73 px, y=340 px
1687011658.010694 Coordinates x=75 px, y=342 px
1687011658.0266623 Coordinates x=75 px, y=342 px
1687011658.0426393 Coordinates x=88 px, y=343 px
1687011658.057903 Coordinates x=88 px, y=343 px
1687011658.0738842 Coordinates x=141 px, y=334 px
1687011658.0891945 Coordinates x=141 px, y=334 px
1687011658.1048648 Coordinates x=141 px, y=334 px
1687011658.1208627 Coordinates x=183 px, y=331 px
1687011658.1368232 Coordinates x=183 px, y=331 px
1687011658.1524043 Coordinates x=213 px, y=326 px
1687011658.16772 Coordinates x=213 px, y=326 px
1687011658.1829069 Coordinates x=244 px, y=315 px
1687011658.1981077 Coordinates x=244 px, y=315 px
1687011658.2141464 Coordinates x=259 px, y=309 px
1687011658.22959 Coordinates x=259 px, y=309 px
1687011658.2453997 Coordinates x=273 px, y=301 px
1687011658.2613418 Coordinates x=273 px, y=301 px
1687011658.2777238 Coordinates x=289 px, y=294 px
1687011658.2936473 Coordinates x=289 px, y=294 px
1687011658.3096006 Coordinates x=325 px, y=279 px
1687011658.325137 Coordinates x=325 px, y=279 px
1687011658.3411212 Coordinates x=357 px, y=268 px
1687011658.3558426 Coordinates x=357 px, y=268 px
1687011658.3713188 Coordinates x=369 px, y=261 px
1687011658.3864298 Coordinates x=369 px, y=261 px
1687011658.4024384 Coordinates x=381 px, y=255 px
1687011658.4178624 Coordinates x=381 px, y=255 px
1687011658.4330046 Coordinates x=381 px, y=255 px
1687011658.4482849 Coordinates x=430 px, y=242 px
1687011658.4640393 Coordinates x=430 px, y=242 px
1687011658.4791708 Coordinates x=481 px, y=226 px
1687011658.4943867 Coordinates x=481 px, y=226 px
1687011658.5103316 Coordinates x=521 px, y=217 px
1687011658.5254729 Coordinates x=521 px, y=217 px
1687011658.5410361 Coordinates x=571 px, y=202 px
1687011658.5564303 Coordinates x=571 px, y=202 px
1687011658.5723555 Coordinates x=609 px, y=199 px
1687011658.5878608 Coordinates x=609 px, y=199 px
1687011658.6028612 Coordinates x=631 px, y=192 px
1687011658.6188593 Coordinates x=631 px, y=192 px
1687011658.6348724 Coordinates x=631 px, y=192 px
