1687694516.947156 Coordinates x=21 px, y=1087 px
1687694516.962234 Coordinates x=19 px, y=1089 px
1687694516.9864917 Coordinates x=18 px, y=1090 px
1687694517.0022836 Coordinates x=17 px, y=1089 px
1687694517.0180836 Coordinates x=17 px, y=1089 px
1687694517.033588 Coordinates x=17 px, y=1089 px
1687694517.049235 Coordinates x=16 px, y=1089 px
1687694517.0648696 Coordinates x=16 px, y=1089 px
1687694517.0804884 Coordinates x=16 px, y=1089 px
1687694517.0964937 Coordinates x=15 px, y=1089 px
1687694517.112272 Coordinates x=15 px, y=1089 px
1687694517.1280065 Coordinates x=14 px, y=1089 px
1687694517.1436243 Coordinates x=14 px, y=1089 px
1687694517.1591465 Coordinates x=14 px, y=1089 px
1687694517.1748433 Coordinates x=14 px, y=1090 px
1687694517.1907833 Coordinates x=14 px, y=1090 px
1687694517.2066276 Coordinates x=13 px, y=1090 px
1687694517.222241 Coordinates x=13 px, y=1090 px
1687694517.2378228 Coordinates x=13 px, y=1090 px
1687694517.2534528 Coordinates x=13 px, y=1090 px
1687694517.2811992 Coordinates x=12 px, y=1089 px
1687694517.2968307 Coordinates x=12 px, y=1087 px
1687694517.3201191 Coordinates x=11 px, y=1087 px
1687694517.335706 Coordinates x=11 px, y=1086 px
1687694517.3513227 Coordinates x=11 px, y=1086 px
1687694517.3667667 Coordinates x=10 px, y=1086 px
1687694517.3825245 Coordinates x=10 px, y=1086 px
1687694517.3986447 Coordinates x=10 px, y=1086 px
1687694517.414473 Coordinates x=10 px, y=1086 px
1687694517.4301305 Coordinates x=10 px, y=1086 px
1687694517.4455462 Coordinates x=10 px, y=1086 px
1687694517.4614034 Coordinates x=10 px, y=1086 px
1687694517.4770207 Coordinates x=9 px, y=1087 px
1687694517.4929135 Coordinates x=9 px, y=1089 px
1687694517.5087876 Coordinates x=8 px, y=1090 px
1687694517.5242398 Coordinates x=8 px, y=1090 px
1687694517.5398662 Coordinates x=8 px, y=1090 px
1687694517.5556142 Coordinates x=8 px, y=1090 px
1687694517.5711946 Coordinates x=8 px, y=1090 px
1687694517.586729 Coordinates x=8 px, y=1090 px
1687694517.602568 Coordinates x=8 px, y=1090 px
1687694517.618239 Coordinates x=8 px, y=1090 px
1687694517.6343799 Coordinates x=8 px, y=1090 px
1687694517.6502469 Coordinates x=8 px, y=1090 px
1687694517.6658835 Coordinates x=8 px, y=1090 px
1687694517.6815076 Coordinates x=8 px, y=1090 px
1687694517.6974168 Coordinates x=8 px, y=1090 px
1687694517.7132845 Coordinates x=8 px, y=1090 px
1687694517.7289202 Coordinates x=8 px, y=1090 px
1687694517.744546 Coordinates x=8 px, y=1090 px
1687694517.760169 Coordinates x=274 px, y=634 px
1687694517.7761886 Coordinates x=274 px, y=634 px
1687694517.7919617 Coordinates x=274 px, y=634 px
1687694517.8078115 Coordinates x=274 px, y=634 px
1687694517.823423 Coordinates x=276 px, y=634 px
1687694517.83899 Coordinates x=277 px, y=635 px
1687694517.854618 Coordinates x=275 px, y=637 px
1687694517.8702402 Coordinates x=275 px, y=637 px
1687694517.8859763 Coordinates x=275 px, y=637 px
1687694517.9018774 Coordinates x=275 px, y=637 px
1687694517.9177523 Coordinates x=275 px, y=637 px
1687694517.9333844 Coordinates x=274 px, y=637 px
1687694517.9489965 Coordinates x=272 px, y=637 px
1687694517.9646382 Coordinates x=271 px, y=636 px
1687694517.9802651 Coordinates x=271 px, y=636 px
1687694517.9966116 Coordinates x=271 px, y=636 px
1687694518.0124955 Coordinates x=271 px, y=636 px
1687694518.0281174 Coordinates x=275 px, y=626 px
1687694518.0437455 Coordinates x=275 px, y=626 px
1687694518.0593646 Coordinates x=275 px, y=626 px
1687694518.0749454 Coordinates x=275 px, y=626 px
1687694518.091208 Coordinates x=275 px, y=626 px
1687694518.1069753 Coordinates x=283 px, y=613 px
1687694518.1226668 Coordinates x=283 px, y=613 px
1687694518.1382945 Coordinates x=283 px, y=613 px
1687694518.153849 Coordinates x=291 px, y=601 px
1687694518.169582 Coordinates x=300 px, y=585 px
1687694518.185216 Coordinates x=300 px, y=585 px
1687694518.2010958 Coordinates x=306 px, y=575 px
1687694518.2169778 Coordinates x=306 px, y=575 px
1687694518.2325153 Coordinates x=313 px, y=561 px
1687694518.2482276 Coordinates x=313 px, y=561 px
1687694518.263676 Coordinates x=321 px, y=554 px
1687694518.2789958 Coordinates x=321 px, y=554 px
1687694518.2948418 Coordinates x=321 px, y=554 px
1687694518.310745 Coordinates x=321 px, y=554 px
1687694518.3260415 Coordinates x=369 px, y=545 px
1687694518.3417468 Coordinates x=440 px, y=542 px
1687694518.3576436 Coordinates x=440 px, y=542 px
1687694518.3699763 Coordinates x=485 px, y=540 px
1687694518.385093 Coordinates x=485 px, y=540 px
1687694518.4004333 Coordinates x=519 px, y=542 px
1687694518.4157226 Coordinates x=519 px, y=542 px
1687694518.4310613 Coordinates x=519 px, y=542 px
1687694518.446371 Coordinates x=536 px, y=548 px
1687694518.4617944 Coordinates x=536 px, y=548 px
1687694518.4773924 Coordinates x=536 px, y=548 px
1687694518.4931264 Coordinates x=550 px, y=553 px
1687694518.509078 Coordinates x=598 px, y=554 px
1687694518.5251858 Coordinates x=943 px, y=574 px
1687694518.5411348 Coordinates x=943 px, y=574 px
1687694518.5564644 Coordinates x=943 px, y=574 px
1687694518.5714462 Coordinates x=943 px, y=574 px
1687694518.5874846 Coordinates x=999 px, y=572 px
1687694518.6031055 Coordinates x=1067 px, y=576 px
1687694518.6190999 Coordinates x=1067 px, y=576 px
1687694518.635114 Coordinates x=1095 px, y=578 px
1687694518.6519475 Coordinates x=1095 px, y=578 px
1687694518.6676223 Coordinates x=1128 px, y=578 px
