1687006614.135766 Coordinates x=1439 px, y=728 px
1687006614.151644 Coordinates x=1442 px, y=728 px
1687006614.167697 Coordinates x=1442 px, y=728 px
1687006614.1832058 Coordinates x=1445 px, y=728 px
1687006614.198871 Coordinates x=1445 px, y=728 px
1687006614.214852 Coordinates x=1447 px, y=727 px
1687006614.2296934 Coordinates x=1447 px, y=727 px
1687006614.245125 Coordinates x=1448 px, y=727 px
1687006614.261099 Coordinates x=1448 px, y=727 px
1687006614.2766912 Coordinates x=1450 px, y=727 px
1687006614.29178 Coordinates x=1450 px, y=727 px
1687006614.307269 Coordinates x=1450 px, y=728 px
1687006614.3226244 Coordinates x=1450 px, y=728 px
1687006614.338609 Coordinates x=1450 px, y=728 px
1687006614.3536017 Coordinates x=1450 px, y=730 px
1687006614.3683028 Coordinates x=1450 px, y=730 px
1687006614.3841534 Coordinates x=1451 px, y=732 px
1687006614.3994176 Coordinates x=1451 px, y=732 px
1687006614.4155052 Coordinates x=1452 px, y=738 px
1687006614.4307897 Coordinates x=1452 px, y=738 px
1687006614.4469616 Coordinates x=1451 px, y=742 px
1687006614.4625497 Coordinates x=1451 px, y=742 px
1687006614.4787326 Coordinates x=1451 px, y=749 px
1687006614.4938853 Coordinates x=1451 px, y=749 px
1687006614.5099187 Coordinates x=1036 px, y=739 px
1687006614.5253644 Coordinates x=1036 px, y=739 px
1687006614.541832 Coordinates x=575 px, y=662 px
1687006614.5572643 Coordinates x=575 px, y=662 px
1687006614.572839 Coordinates x=527 px, y=637 px
1687006614.5880454 Coordinates x=527 px, y=637 px
1687006614.6036346 Coordinates x=527 px, y=637 px
1687006614.6188002 Coordinates x=482 px, y=608 px
1687006614.6344647 Coordinates x=482 px, y=608 px
1687006614.6497595 Coordinates x=377 px, y=557 px
1687006614.665296 Coordinates x=377 px, y=557 px
1687006614.6810436 Coordinates x=321 px, y=504 px
1687006614.696118 Coordinates x=321 px, y=504 px
1687006614.711572 Coordinates x=302 px, y=454 px
1687006614.7272215 Coordinates x=302 px, y=454 px
1687006614.7424872 Coordinates x=297 px, y=434 px
1687006614.7583961 Coordinates x=297 px, y=434 px
1687006614.7738264 Coordinates x=289 px, y=430 px
1687006614.7893684 Coordinates x=289 px, y=430 px
1687006614.8050234 Coordinates x=281 px, y=421 px
1687006614.820263 Coordinates x=281 px, y=421 px
1687006614.8354204 Coordinates x=278 px, y=418 px
1687006614.8506312 Coordinates x=278 px, y=418 px
1687006614.8661997 Coordinates x=278 px, y=418 px
1687006614.8824701 Coordinates x=274 px, y=415 px
1687006614.8975499 Coordinates x=274 px, y=415 px
1687006614.912998 Coordinates x=274 px, y=412 px
1687006614.9283488 Coordinates x=274 px, y=412 px
1687006614.944089 Coordinates x=275 px, y=406 px
1687006614.960096 Coordinates x=275 px, y=406 px
1687006614.9752138 Coordinates x=276 px, y=399 px
1687006614.990773 Coordinates x=276 px, y=399 px
1687006615.0063453 Coordinates x=276 px, y=399 px
1687006615.0213075 Coordinates x=278 px, y=391 px
1687006615.0371687 Coordinates x=278 px, y=391 px
1687006615.0527751 Coordinates x=278 px, y=388 px
1687006615.0678973 Coordinates x=278 px, y=388 px
1687006615.0830228 Coordinates x=277 px, y=385 px
1687006615.0985827 Coordinates x=277 px, y=385 px
1687006615.1141326 Coordinates x=275 px, y=381 px
1687006615.129433 Coordinates x=275 px, y=381 px
