1686395424.6547873 Coordinates x=1539 px, y=713 px
1686395424.67568 Coordinates x=1539 px, y=713 px
1686395424.6916714 Coordinates x=1539 px, y=715 px
1686395424.706889 Coordinates x=1539 px, y=715 px
1686395424.7226288 Coordinates x=1542 px, y=717 px
1686395424.7387831 Coordinates x=1542 px, y=717 px
1686395424.7540133 Coordinates x=1544 px, y=717 px
1686395424.7691221 Coordinates x=1544 px, y=717 px
1686395424.7850287 Coordinates x=1553 px, y=715 px
1686395424.8003075 Coordinates x=1553 px, y=715 px
1686395424.8163605 Coordinates x=1569 px, y=698 px
1686395424.832089 Coordinates x=1569 px, y=698 px
1686395424.84763 Coordinates x=1569 px, y=698 px
1686395424.863403 Coordinates x=1581 px, y=689 px
1686395424.878747 Coordinates x=1581 px, y=689 px
1686395424.894288 Coordinates x=1584 px, y=692 px
1686395424.9101467 Coordinates x=1584 px, y=692 px
1686395424.9261117 Coordinates x=1593 px, y=709 px
1686395424.9418466 Coordinates x=1593 px, y=709 px
1686395424.9578397 Coordinates x=1594 px, y=727 px
1686395424.9733791 Coordinates x=1594 px, y=727 px
1686395424.98859 Coordinates x=1598 px, y=756 px
1686395425.0041647 Coordinates x=1598 px, y=756 px
1686395425.0201519 Coordinates x=1591 px, y=784 px
1686395425.0356858 Coordinates x=1591 px, y=784 px
1686395425.051417 Coordinates x=1571 px, y=821 px
1686395425.0670033 Coordinates x=1571 px, y=821 px
1686395425.0828755 Coordinates x=1563 px, y=857 px
1686395425.0980346 Coordinates x=1563 px, y=857 px
1686395425.1136522 Coordinates x=1557 px, y=871 px
1686395425.1294162 Coordinates x=1557 px, y=871 px
1686395425.1446607 Coordinates x=1557 px, y=871 px
1686395425.1606605 Coordinates x=1546 px, y=869 px
1686395425.1766603 Coordinates x=1546 px, y=869 px
1686395425.1924083 Coordinates x=1515 px, y=852 px
1686395425.208534 Coordinates x=1515 px, y=852 px
1686395425.2241926 Coordinates x=1344 px, y=811 px
1686395425.2401774 Coordinates x=1344 px, y=811 px
1686395425.2551823 Coordinates x=1204 px, y=749 px
1686395425.2711813 Coordinates x=1204 px, y=749 px
1686395425.286185 Coordinates x=1157 px, y=734 px
1686395425.3022077 Coordinates x=1157 px, y=734 px
1686395425.3183005 Coordinates x=1117 px, y=730 px
1686395425.334049 Coordinates x=1117 px, y=730 px
1686395425.3500183 Coordinates x=1096 px, y=728 px
1686395425.3660097 Coordinates x=1096 px, y=728 px
1686395425.3819935 Coordinates x=1071 px, y=729 px
1686395425.3980386 Coordinates x=1071 px, y=729 px
1686395425.4136188 Coordinates x=1071 px, y=729 px
1686395425.4296362 Coordinates x=1065 px, y=727 px
1686395425.4456215 Coordinates x=1065 px, y=727 px
1686395425.4617264 Coordinates x=1063 px, y=726 px
1686395425.477227 Coordinates x=1063 px, y=726 px
1686395425.4922338 Coordinates x=1063 px, y=713 px
1686395425.508273 Coordinates x=1063 px, y=713 px
1686395425.5238082 Coordinates x=1061 px, y=672 px
1686395425.5391924 Coordinates x=1061 px, y=672 px
1686395425.5549242 Coordinates x=1067 px, y=647 px
1686395425.5709236 Coordinates x=1067 px, y=647 px
1686395425.586944 Coordinates x=1071 px, y=616 px
1686395425.6022453 Coordinates x=1071 px, y=616 px
1686395425.6180928 Coordinates x=1071 px, y=616 px
1686395425.633996 Coordinates x=1072 px, y=602 px
1686395425.6492286 Coordinates x=1074 px, y=596 px
1686395425.6650043 Coordinates x=1074 px, y=596 px
1686395425.6810045 Coordinates x=1074 px, y=596 px
1686395425.6969912 Coordinates x=1073 px, y=589 px
1686395425.7122054 Coordinates x=1073 px, y=589 px
1686395425.7278988 Coordinates x=1069 px, y=578 px
1686395425.7438328 Coordinates x=1069 px, y=578 px
1686395425.759113 Coordinates x=1069 px, y=572 px
1686395425.7746153 Coordinates x=1069 px, y=572 px
1686395425.790144 Coordinates x=1070 px, y=569 px
1686395425.8051977 Coordinates x=1070 px, y=569 px
1686395425.8214157 Coordinates x=1071 px, y=564 px
1686395425.8364375 Coordinates x=1071 px, y=564 px
1686395425.852223 Coordinates x=1073 px, y=559 px
1686395425.8682342 Coordinates x=1073 px, y=559 px
1686395425.88337 Coordinates x=1082 px, y=554 px
1686395425.8988814 Coordinates x=1082 px, y=554 px
1686395425.9144256 Coordinates x=1082 px, y=554 px
1686395425.9303625 Coordinates x=1096 px, y=546 px
1686395425.945815 Coordinates x=1098 px, y=541 px
1686395425.961308 Coordinates x=1098 px, y=541 px
1686395425.9772284 Coordinates x=1098 px, y=541 px
1686395425.9923537 Coordinates x=1102 px, y=537 px
1686395426.007615 Coordinates x=1102 px, y=537 px
1686395426.023673 Coordinates x=1100 px, y=536 px
1686395426.0388267 Coordinates x=1100 px, y=536 px
1686395426.0550544 Coordinates x=1101 px, y=535 px
1686395426.0709836 Coordinates x=1101 px, y=535 px
1686395426.0863712 Coordinates x=1102 px, y=534 px
1686395426.1022878 Coordinates x=1102 px, y=534 px
1686395426.1177797 Coordinates x=1107 px, y=532 px
1686395426.1337726 Coordinates x=1107 px, y=532 px
1686395426.149474 Coordinates x=1114 px, y=530 px
1686395426.1652918 Coordinates x=1114 px, y=530 px
1686395426.1813087 Coordinates x=1114 px, y=530 px
1686395426.1971233 Coordinates x=1114 px, y=530 px
1686395426.2137797 Coordinates x=1127 px, y=529 px
1686395426.2295654 Coordinates x=1159 px, y=527 px
1686395426.2453058 Coordinates x=1159 px, y=527 px
1686395426.2606301 Coordinates x=1182 px, y=521 px
1686395426.2763047 Coordinates x=1182 px, y=521 px
1686395426.291483 Coordinates x=1193 px, y=519 px
1686395426.3071892 Coordinates x=1193 px, y=519 px
1686395426.3234818 Coordinates x=1198 px, y=520 px
1686395426.339749 Coordinates x=1198 px, y=520 px
1686395426.355925 Coordinates x=1211 px, y=533 px
1686395426.3708715 Coordinates x=1211 px, y=533 px
1686395426.3868496 Coordinates x=1229 px, y=538 px
1686395426.4026325 Coordinates x=1229 px, y=538 px
1686395426.4186077 Coordinates x=1259 px, y=541 px
1686395426.434038 Coordinates x=1259 px, y=541 px
1686395426.4490163 Coordinates x=1277 px, y=544 px
1686395426.4648986 Coordinates x=1277 px, y=544 px
1686395426.4794571 Coordinates x=1277 px, y=544 px
1686395426.4950562 Coordinates x=1291 px, y=546 px
1686395426.5102901 Coordinates x=1291 px, y=546 px
1686395426.5263126 Coordinates x=1299 px, y=541 px
1686395426.541969 Coordinates x=1299 px, y=541 px
1686395426.557909 Coordinates x=1323 px, y=518 px
1686395426.573972 Coordinates x=1323 px, y=518 px
1686395426.5903 Coordinates x=1393 px, y=503 px
1686395426.6056373 Coordinates x=1393 px, y=503 px
1686395426.6208363 Coordinates x=1433 px, y=495 px
1686395426.636793 Coordinates x=1433 px, y=495 px
1686395426.6525142 Coordinates x=1461 px, y=491 px
1686395426.6684637 Coordinates x=1461 px, y=491 px
1686395426.684891 Coordinates x=1478 px, y=492 px
1686395426.7008395 Coordinates x=1478 px, y=492 px
1686395426.7151606 Coordinates x=1478 px, y=492 px
1686395426.7305715 Coordinates x=1494 px, y=493 px
1686395426.7456312 Coordinates x=1494 px, y=493 px
1686395426.761726 Coordinates x=1496 px, y=492 px
1686395426.7774234 Coordinates x=1496 px, y=492 px
1686395426.792638 Coordinates x=1498 px, y=486 px
1686395426.8085697 Coordinates x=1498 px, y=486 px
1686395426.824415 Coordinates x=1498 px, y=478 px
1686395426.8399994 Coordinates x=1498 px, y=478 px
1686395426.8553097 Coordinates x=1497 px, y=470 px
1686395426.8713899 Coordinates x=1497 px, y=470 px
1686395426.8867025 Coordinates x=1500 px, y=461 px
1686395426.9022834 Coordinates x=1500 px, y=461 px
1686395426.9181216 Coordinates x=1500 px, y=452 px
1686395426.9330952 Coordinates x=1500 px, y=452 px
1686395426.9488206 Coordinates x=1500 px, y=452 px
1686395426.9647462 Coordinates x=1502 px, y=446 px
1686395426.9804366 Coordinates x=1502 px, y=446 px
1686395426.9961061 Coordinates x=1514 px, y=441 px
1686395427.011564 Coordinates x=1514 px, y=441 px
1686395427.0271823 Coordinates x=1527 px, y=438 px
1686395427.042953 Coordinates x=1527 px, y=438 px
1686395427.0590603 Coordinates x=1530 px, y=437 px
1686395427.074921 Coordinates x=1530 px, y=437 px
1686395427.0910218 Coordinates x=1553 px, y=438 px
1686395427.106451 Coordinates x=1553 px, y=438 px
1686395427.1224735 Coordinates x=1559 px, y=440 px
1686395427.1377182 Coordinates x=1559 px, y=440 px
1686395427.1529 Coordinates x=1572 px, y=441 px
1686395427.1682432 Coordinates x=1572 px, y=441 px
1686395427.1841779 Coordinates x=1590 px, y=443 px
1686395427.1994324 Coordinates x=1590 px, y=443 px
1686395427.2154047 Coordinates x=1629 px, y=444 px
1686395427.2312663 Coordinates x=1629 px, y=444 px
1686395427.2464547 Coordinates x=1629 px, y=444 px
1686395427.262323 Coordinates x=1646 px, y=448 px
1686395427.2777429 Coordinates x=1646 px, y=448 px
1686395427.2931962 Coordinates x=1655 px, y=451 px
1686395427.3086739 Coordinates x=1655 px, y=451 px
1686395427.3240414 Coordinates x=1657 px, y=452 px
1686395427.3395903 Coordinates x=1657 px, y=452 px
1686395427.3549583 Coordinates x=1660 px, y=455 px
1686395427.3709698 Coordinates x=1660 px, y=455 px
1686395427.3867 Coordinates x=1671 px, y=457 px
1686395427.402599 Coordinates x=1671 px, y=457 px
1686395427.418336 Coordinates x=1675 px, y=461 px
1686395427.434519 Coordinates x=1675 px, y=461 px
1686395427.4499688 Coordinates x=1684 px, y=463 px
1686395427.4651258 Coordinates x=1684 px, y=463 px
1686395427.4803987 Coordinates x=1684 px, y=463 px
1686395427.4950542 Coordinates x=1695 px, y=473 px
1686395427.5111701 Coordinates x=1695 px, y=473 px
1686395427.526257 Coordinates x=1717 px, y=485 px
1686395427.541585 Coordinates x=1717 px, y=485 px
1686395427.5569873 Coordinates x=1737 px, y=494 px
1686395427.572403 Coordinates x=1737 px, y=494 px
1686395427.5885656 Coordinates x=1748 px, y=496 px
1686395427.604139 Coordinates x=1748 px, y=496 px
1686395427.6197321 Coordinates x=1764 px, y=499 px
1686395427.6350954 Coordinates x=1764 px, y=499 px
1686395427.6506934 Coordinates x=1764 px, y=499 px
1686395427.6666453 Coordinates x=1782 px, y=499 px
1686395427.6826417 Coordinates x=1782 px, y=499 px
1686395427.6984286 Coordinates x=1787 px, y=500 px
1686395427.7136216 Coordinates x=1787 px, y=500 px
1686395427.72902 Coordinates x=1790 px, y=501 px
1686395427.7452238 Coordinates x=1790 px, y=501 px
1686395427.7612033 Coordinates x=1800 px, y=508 px
1686395427.7771602 Coordinates x=1800 px, y=508 px
1686395427.7923436 Coordinates x=1812 px, y=518 px
1686395427.807823 Coordinates x=1812 px, y=518 px
1686395427.8240132 Coordinates x=1839 px, y=527 px
1686395427.839062 Coordinates x=1839 px, y=527 px
1686395427.8552935 Coordinates x=1845 px, y=525 px
1686395427.870431 Coordinates x=1845 px, y=525 px
1686395427.8858407 Coordinates x=1850 px, y=525 px
1686395427.9012861 Coordinates x=1850 px, y=525 px
1686395427.9166622 Coordinates x=1857 px, y=523 px
1686395427.9318795 Coordinates x=1857 px, y=523 px
1686395427.9468598 Coordinates x=1857 px, y=523 px
1686395427.962677 Coordinates x=1864 px, y=525 px
1686395427.977909 Coordinates x=1864 px, y=525 px
1686395427.994345 Coordinates x=1865 px, y=526 px
1686395428.0097854 Coordinates x=1865 px, y=526 px
1686395428.0249517 Coordinates x=1867 px, y=528 px
1686395428.040598 Coordinates x=1867 px, y=528 px
1686395428.0566044 Coordinates x=1868 px, y=528 px
1686395428.0717485 Coordinates x=1868 px, y=528 px
1686395428.086949 Coordinates x=1860 px, y=524 px
1686395428.1022127 Coordinates x=1860 px, y=524 px
1686395428.1175654 Coordinates x=1855 px, y=520 px
1686395428.132693 Coordinates x=1855 px, y=520 px
1686395428.1478548 Coordinates x=1855 px, y=520 px
1686395428.1637683 Coordinates x=1841 px, y=514 px
1686395428.179167 Coordinates x=1841 px, y=514 px
1686395428.1944788 Coordinates x=1816 px, y=513 px
1686395428.2105806 Coordinates x=1816 px, y=513 px
1686395428.2260375 Coordinates x=1805 px, y=510 px
1686395428.2415388 Coordinates x=1805 px, y=510 px
1686395428.2575798 Coordinates x=1779 px, y=504 px
1686395428.2728257 Coordinates x=1779 px, y=504 px
1686395428.2884881 Coordinates x=1743 px, y=492 px
1686395428.3044531 Coordinates x=1743 px, y=492 px
1686395428.3195987 Coordinates x=1721 px, y=489 px
1686395428.3353908 Coordinates x=1721 px, y=489 px
1686395428.3508146 Coordinates x=1701 px, y=485 px
1686395428.3667588 Coordinates x=1701 px, y=485 px
1686395428.382041 Coordinates x=1701 px, y=485 px
1686395428.3969524 Coordinates x=1683 px, y=483 px
1686395428.412523 Coordinates x=1683 px, y=483 px
1686395428.4279022 Coordinates x=1679 px, y=482 px
1686395428.4442484 Coordinates x=1679 px, y=482 px
1686395428.459305 Coordinates x=1677 px, y=481 px
1686395428.4745424 Coordinates x=1677 px, y=481 px
1686395428.4906132 Coordinates x=1675 px, y=482 px
1686395428.5058413 Coordinates x=1675 px, y=482 px
1686395428.5213027 Coordinates x=1674 px, y=482 px
1686395428.5367665 Coordinates x=1674 px, y=482 px
1686395428.5525987 Coordinates x=1674 px, y=483 px
1686395428.568174 Coordinates x=1674 px, y=483 px
1686395428.5839858 Coordinates x=1673 px, y=483 px
1686395428.5992177 Coordinates x=1673 px, y=483 px
1686395428.6143892 Coordinates x=1673 px, y=483 px
1686395428.6296988 Coordinates x=1672 px, y=484 px
1686395428.6460385 Coordinates x=1672 px, y=484 px
1686395428.6610854 Coordinates x=1671 px, y=487 px
1686395428.6770945 Coordinates x=1671 px, y=487 px
1686395428.692892 Coordinates x=1670 px, y=489 px
1686395428.7088993 Coordinates x=1670 px, y=489 px
1686395428.723733 Coordinates x=1665 px, y=491 px
1686395428.7396708 Coordinates x=1665 px, y=491 px
1686395428.754418 Coordinates x=1665 px, y=492 px
1686395428.7703884 Coordinates x=1665 px, y=492 px
1686395428.7864034 Coordinates x=1668 px, y=499 px
1686395428.8013701 Coordinates x=1668 px, y=499 px
1686395428.8164747 Coordinates x=1669 px, y=517 px
1686395428.8321934 Coordinates x=1669 px, y=517 px
1686395428.8481846 Coordinates x=1669 px, y=517 px
1686395428.8641868 Coordinates x=1682 px, y=536 px
1686395428.8801882 Coordinates x=1682 px, y=536 px
1686395428.8962 Coordinates x=1698 px, y=551 px
1686395428.9122016 Coordinates x=1698 px, y=551 px
1686395428.9279017 Coordinates x=1686 px, y=563 px
1686395428.9439003 Coordinates x=1686 px, y=563 px
1686395428.9599018 Coordinates x=1539 px, y=616 px
1686395428.9759498 Coordinates x=1539 px, y=616 px
1686395428.9919488 Coordinates x=1403 px, y=635 px
1686395429.007986 Coordinates x=1403 px, y=635 px
1686395429.0231419 Coordinates x=1369 px, y=636 px
1686395429.0391421 Coordinates x=1369 px, y=636 px
1686395429.055142 Coordinates x=1339 px, y=640 px
1686395429.0710108 Coordinates x=1339 px, y=640 px
1686395429.087111 Coordinates x=1322 px, y=644 px
1686395429.1030915 Coordinates x=1322 px, y=644 px
1686395429.1180902 Coordinates x=1250 px, y=642 px
1686395429.1340091 Coordinates x=1250 px, y=642 px
1686395429.1497018 Coordinates x=1111 px, y=635 px
1686395429.1655555 Coordinates x=1111 px, y=635 px
1686395429.1815665 Coordinates x=1111 px, y=635 px
1686395429.1971762 Coordinates x=1111 px, y=635 px
1686395429.2132988 Coordinates x=1060 px, y=642 px
1686395429.2285337 Coordinates x=1033 px, y=645 px
1686395429.2436213 Coordinates x=1033 px, y=645 px
1686395429.2597544 Coordinates x=1020 px, y=645 px
1686395429.2748678 Coordinates x=1020 px, y=645 px
1686395429.290474 Coordinates x=995 px, y=642 px
1686395429.306457 Coordinates x=995 px, y=642 px
1686395429.3221874 Coordinates x=995 px, y=642 px
1686395429.3377664 Coordinates x=995 px, y=642 px
1686395429.3537476 Coordinates x=1124 px, y=651 px
1686395429.3689303 Coordinates x=1124 px, y=651 px
1686395429.3851454 Coordinates x=1241 px, y=658 px
1686395429.4007473 Coordinates x=1241 px, y=658 px
1686395429.4163613 Coordinates x=1241 px, y=658 px
1686395429.4321208 Coordinates x=1326 px, y=670 px
1686395429.447401 Coordinates x=1326 px, y=670 px
1686395429.463109 Coordinates x=1326 px, y=670 px
1686395429.4781678 Coordinates x=1401 px, y=664 px
1686395429.494021 Coordinates x=1401 px, y=664 px
1686395429.5099277 Coordinates x=1458 px, y=644 px
1686395429.525842 Coordinates x=1458 px, y=644 px
1686395429.5409994 Coordinates x=1485 px, y=644 px
1686395429.5562243 Coordinates x=1485 px, y=644 px
1686395429.5717156 Coordinates x=1496 px, y=642 px
1686395429.5873046 Coordinates x=1496 px, y=642 px
1686395429.602751 Coordinates x=1531 px, y=643 px
1686395429.6174383 Coordinates x=1585 px, y=646 px
1686395429.633098 Coordinates x=1585 px, y=646 px
1686395429.6481087 Coordinates x=1585 px, y=646 px
1686395429.664091 Coordinates x=1610 px, y=648 px
1686395429.679292 Coordinates x=1610 px, y=648 px
1686395429.6949492 Coordinates x=1668 px, y=655 px
1686395429.7103715 Coordinates x=1668 px, y=655 px
1686395429.7262387 Coordinates x=1712 px, y=657 px
1686395429.74229 Coordinates x=1712 px, y=657 px
1686395429.7581222 Coordinates x=1727 px, y=660 px
1686395429.7734284 Coordinates x=1727 px, y=660 px
1686395429.7887607 Coordinates x=1737 px, y=661 px
1686395429.8042374 Coordinates x=1737 px, y=661 px
1686395429.8203058 Coordinates x=1742 px, y=662 px
1686395429.8363037 Coordinates x=1742 px, y=662 px
1686395429.8515182 Coordinates x=1743 px, y=662 px
1686395429.8667831 Coordinates x=1743 px, y=662 px
1686395429.8819897 Coordinates x=1743 px, y=663 px
1686395429.8977723 Coordinates x=1743 px, y=663 px
1686395429.9129038 Coordinates x=1743 px, y=663 px
1686395429.9278686 Coordinates x=1749 px, y=665 px
1686395429.9425683 Coordinates x=1749 px, y=665 px
1686395429.9577372 Coordinates x=1765 px, y=680 px
1686395429.973091 Coordinates x=1765 px, y=680 px
1686395429.9884617 Coordinates x=1790 px, y=696 px
1686395430.004259 Coordinates x=1790 px, y=696 px
1686395430.0204568 Coordinates x=1812 px, y=708 px
1686395430.0363493 Coordinates x=1812 px, y=708 px
1686395430.0527425 Coordinates x=1833 px, y=720 px
1686395430.0678046 Coordinates x=1833 px, y=720 px
1686395430.0830028 Coordinates x=1833 px, y=720 px
1686395430.0986981 Coordinates x=1861 px, y=728 px
1686395430.1138492 Coordinates x=1861 px, y=728 px
1686395430.1296992 Coordinates x=1863 px, y=729 px
1686395430.1456017 Coordinates x=1863 px, y=729 px
1686395430.1604009 Coordinates x=1773 px, y=722 px
1686395430.1757696 Coordinates x=1773 px, y=722 px
1686395430.1909993 Coordinates x=1622 px, y=706 px
1686395430.2066457 Coordinates x=1622 px, y=706 px
1686395430.222777 Coordinates x=1540 px, y=703 px
1686395430.2381628 Coordinates x=1540 px, y=703 px
1686395430.2538285 Coordinates x=1522 px, y=706 px
1686395430.2693753 Coordinates x=1522 px, y=706 px
1686395430.2857592 Coordinates x=1504 px, y=712 px
1686395430.3012247 Coordinates x=1504 px, y=712 px
1686395430.316961 Coordinates x=1492 px, y=716 px
1686395430.3327613 Coordinates x=1492 px, y=716 px
1686395430.3488219 Coordinates x=1484 px, y=715 px
1686395430.3638687 Coordinates x=1484 px, y=715 px
1686395430.3799312 Coordinates x=1484 px, y=715 px
1686395430.395653 Coordinates x=1170 px, y=747 px
1686395430.4108787 Coordinates x=1170 px, y=747 px
1686395430.4266872 Coordinates x=1050 px, y=803 px
1686395430.4417896 Coordinates x=1050 px, y=803 px
1686395430.457223 Coordinates x=991 px, y=841 px
1686395430.473359 Coordinates x=991 px, y=841 px
1686395430.4885032 Coordinates x=973 px, y=856 px
1686395430.504791 Coordinates x=973 px, y=856 px
1686395430.5190907 Coordinates x=965 px, y=863 px
1686395430.53468 Coordinates x=965 px, y=863 px
1686395430.5500648 Coordinates x=962 px, y=866 px
1686395430.5653138 Coordinates x=962 px, y=866 px
1686395430.5816085 Coordinates x=962 px, y=866 px
1686395430.5965898 Coordinates x=967 px, y=869 px
1686395430.6124134 Coordinates x=967 px, y=869 px
1686395430.6277568 Coordinates x=1036 px, y=890 px
1686395430.6437843 Coordinates x=1036 px, y=890 px
1686395430.6593328 Coordinates x=1107 px, y=904 px
1686395430.675182 Coordinates x=1107 px, y=904 px
1686395430.691081 Coordinates x=1133 px, y=916 px
1686395430.7065265 Coordinates x=1133 px, y=916 px
1686395430.7219596 Coordinates x=1183 px, y=923 px
1686395430.737276 Coordinates x=1183 px, y=923 px
1686395430.7523103 Coordinates x=1183 px, y=923 px
1686395430.767505 Coordinates x=1218 px, y=932 px
1686395430.7830937 Coordinates x=1262 px, y=932 px
1686395430.7990236 Coordinates x=1262 px, y=932 px
1686395430.814477 Coordinates x=1262 px, y=932 px
1686395430.8300006 Coordinates x=1482 px, y=929 px
1686395430.8459969 Coordinates x=1482 px, y=929 px
1686395430.8619945 Coordinates x=1505 px, y=928 px
1686395430.8779845 Coordinates x=1505 px, y=928 px
1686395430.8936617 Coordinates x=1539 px, y=922 px
1686395430.9092124 Coordinates x=1539 px, y=922 px
1686395430.9248612 Coordinates x=1590 px, y=908 px
1686395430.9401956 Coordinates x=1590 px, y=908 px
1686395430.9558733 Coordinates x=1622 px, y=900 px
1686395430.970893 Coordinates x=1622 px, y=900 px
1686395430.9870093 Coordinates x=1642 px, y=896 px
1686395431.0025833 Coordinates x=1642 px, y=896 px
1686395431.0177562 Coordinates x=1655 px, y=885 px
1686395431.0329502 Coordinates x=1655 px, y=885 px
1686395431.0483963 Coordinates x=1655 px, y=883 px
1686395431.0640354 Coordinates x=1655 px, y=883 px
1686395431.079954 Coordinates x=1655 px, y=883 px
1686395431.095644 Coordinates x=1656 px, y=883 px
1686395431.1110823 Coordinates x=1656 px, y=883 px
1686395431.1264534 Coordinates x=1659 px, y=884 px
1686395431.141519 Coordinates x=1659 px, y=884 px
1686395431.1575963 Coordinates x=1660 px, y=882 px
1686395431.172508 Coordinates x=1660 px, y=882 px
1686395431.188006 Coordinates x=1662 px, y=882 px
1686395431.2035718 Coordinates x=1662 px, y=882 px
1686395431.2197506 Coordinates x=1665 px, y=883 px
1686395431.2356405 Coordinates x=1665 px, y=883 px
1686395431.250935 Coordinates x=1671 px, y=885 px
1686395431.2661328 Coordinates x=1671 px, y=885 px
1686395431.2822585 Coordinates x=1671 px, y=885 px
1686395431.2982836 Coordinates x=1680 px, y=885 px
1686395431.3144014 Coordinates x=1680 px, y=885 px
1686395431.32997 Coordinates x=1683 px, y=885 px
1686395431.3459952 Coordinates x=1683 px, y=885 px
1686395431.3615463 Coordinates x=1691 px, y=886 px
1686395431.377416 Coordinates x=1691 px, y=886 px
1686395431.3933196 Coordinates x=1704 px, y=886 px
1686395431.4085853 Coordinates x=1704 px, y=886 px
1686395431.4241555 Coordinates x=1715 px, y=890 px
1686395431.4393353 Coordinates x=1715 px, y=890 px
1686395431.455273 Coordinates x=1730 px, y=895 px
1686395431.4709852 Coordinates x=1730 px, y=895 px
1686395431.4862413 Coordinates x=1735 px, y=896 px
1686395431.5020993 Coordinates x=1735 px, y=896 px
1686395431.5178475 Coordinates x=1741 px, y=901 px
1686395431.5333183 Coordinates x=1741 px, y=901 px
1686395431.5490136 Coordinates x=1741 px, y=901 px
1686395431.5647733 Coordinates x=1740 px, y=901 px
1686395431.5801783 Coordinates x=1740 px, y=901 px
1686395431.5954103 Coordinates x=1731 px, y=897 px
1686395431.6113658 Coordinates x=1731 px, y=897 px
1686395431.6272624 Coordinates x=1716 px, y=887 px
1686395431.6424804 Coordinates x=1716 px, y=887 px
1686395431.6579666 Coordinates x=1696 px, y=872 px
1686395431.6735349 Coordinates x=1696 px, y=872 px
