1686395185.3530679 Coordinates x=37 px, y=1624 px
1686395185.3680372 Coordinates x=37 px, y=1624 px
1686395185.3831964 Coordinates x=37 px, y=1625 px
1686395185.3992367 Coordinates x=37 px, y=1625 px
1686395185.415261 Coordinates x=38 px, y=1625 px
1686395185.431246 Coordinates x=38 px, y=1625 px
1686395185.447244 Coordinates x=39 px, y=1625 px
1686395185.462794 Coordinates x=39 px, y=1625 px
1686395185.4788468 Coordinates x=41 px, y=1623 px
1686395185.4948547 Coordinates x=41 px, y=1623 px
1686395185.510854 Coordinates x=43 px, y=1623 px
1686395185.5268524 Coordinates x=43 px, y=1623 px
1686395185.542913 Coordinates x=47 px, y=1623 px
1686395185.5582237 Coordinates x=47 px, y=1623 px
1686395185.573447 Coordinates x=47 px, y=1623 px
1686395185.5894582 Coordinates x=48 px, y=1623 px
1686395185.6055543 Coordinates x=48 px, y=1623 px
1686395185.621556 Coordinates x=48 px, y=1622 px
1686395185.6375864 Coordinates x=48 px, y=1622 px
1686395185.6538703 Coordinates x=51 px, y=1621 px
1686395185.6689816 Coordinates x=51 px, y=1621 px
1686395185.6849802 Coordinates x=51 px, y=1621 px
1686395185.7009804 Coordinates x=51 px, y=1621 px
1686395185.7159727 Coordinates x=53 px, y=1623 px
1686395185.7319834 Coordinates x=53 px, y=1623 px
1686395185.7479923 Coordinates x=55 px, y=1626 px
1686395185.7635539 Coordinates x=55 px, y=1626 px
1686395185.778544 Coordinates x=57 px, y=1630 px
1686395185.7935555 Coordinates x=57 px, y=1630 px
1686395185.8095558 Coordinates x=57 px, y=1630 px
1686395185.8255541 Coordinates x=57 px, y=1631 px
1686395185.841596 Coordinates x=57 px, y=1631 px
1686395185.8571532 Coordinates x=59 px, y=1633 px
1686395185.8731532 Coordinates x=59 px, y=1633 px
1686395185.8891692 Coordinates x=59 px, y=1634 px
1686395185.90517 Coordinates x=59 px, y=1634 px
1686395185.9211738 Coordinates x=60 px, y=1635 px
1686395185.9373653 Coordinates x=60 px, y=1635 px
1686395185.9525623 Coordinates x=60 px, y=1635 px
1686395185.967578 Coordinates x=60 px, y=1635 px
1686395185.9836655 Coordinates x=62 px, y=1635 px
1686395185.9996035 Coordinates x=62 px, y=1635 px
1686395186.0156162 Coordinates x=393 px, y=1481 px
1686395186.0308735 Coordinates x=393 px, y=1481 px
1686395186.046193 Coordinates x=971 px, y=1162 px
1686395186.0622 Coordinates x=971 px, y=1162 px
1686395186.0778246 Coordinates x=1033 px, y=1104 px
1686395186.0935638 Coordinates x=1033 px, y=1104 px
1686395186.109099 Coordinates x=1092 px, y=1031 px
1686395186.1243615 Coordinates x=1092 px, y=1031 px
1686395186.1401613 Coordinates x=1108 px, y=1011 px
1686395186.156166 Coordinates x=1108 px, y=1011 px
1686395186.1721869 Coordinates x=1108 px, y=1011 px
1686395186.188475 Coordinates x=1129 px, y=992 px
1686395186.2040029 Coordinates x=1129 px, y=992 px
1686395186.2195787 Coordinates x=1146 px, y=983 px
1686395186.235737 Coordinates x=1146 px, y=983 px
1686395186.2521367 Coordinates x=1155 px, y=968 px
1686395186.2674944 Coordinates x=1155 px, y=968 px
1686395186.2839115 Coordinates x=1143 px, y=924 px
1686395186.2993352 Coordinates x=1143 px, y=924 px
1686395186.3151708 Coordinates x=1028 px, y=757 px
1686395186.3307073 Coordinates x=1028 px, y=757 px
1686395186.3459167 Coordinates x=943 px, y=692 px
1686395186.3617787 Coordinates x=943 px, y=692 px
1686395186.3771658 Coordinates x=875 px, y=647 px
1686395186.393261 Coordinates x=875 px, y=647 px
1686395186.408315 Coordinates x=841 px, y=615 px
1686395186.42416 Coordinates x=841 px, y=615 px
1686395186.4402134 Coordinates x=841 px, y=615 px
1686395186.4559119 Coordinates x=805 px, y=572 px
1686395186.4715505 Coordinates x=805 px, y=572 px
1686395186.4878137 Coordinates x=607 px, y=493 px
1686395186.5029573 Coordinates x=607 px, y=493 px
1686395186.518562 Coordinates x=549 px, y=475 px
1686395186.5346403 Coordinates x=549 px, y=475 px
1686395186.5507429 Coordinates x=498 px, y=455 px
1686395186.5666149 Coordinates x=498 px, y=455 px
1686395186.5825722 Coordinates x=476 px, y=440 px
1686395186.598307 Coordinates x=476 px, y=440 px
1686395186.6140544 Coordinates x=453 px, y=425 px
1686395186.629654 Coordinates x=453 px, y=425 px
1686395186.645289 Coordinates x=436 px, y=410 px
1686395186.6605778 Coordinates x=436 px, y=410 px
1686395186.6760118 Coordinates x=406 px, y=394 px
1686395186.6916032 Coordinates x=406 px, y=394 px
1686395186.706834 Coordinates x=406 px, y=394 px
1686395186.72268 Coordinates x=365 px, y=381 px
1686395186.7378027 Coordinates x=365 px, y=381 px
1686395186.7531533 Coordinates x=345 px, y=373 px
1686395186.7683778 Coordinates x=345 px, y=373 px
1686395186.784494 Coordinates x=320 px, y=370 px
1686395186.7998745 Coordinates x=320 px, y=370 px
1686395186.8151124 Coordinates x=307 px, y=370 px
1686395186.8313465 Coordinates x=307 px, y=370 px
1686395186.847448 Coordinates x=296 px, y=375 px
1686395186.8637412 Coordinates x=296 px, y=375 px
1686395186.8788872 Coordinates x=291 px, y=378 px
1686395186.8940127 Coordinates x=291 px, y=378 px
1686395186.9100041 Coordinates x=291 px, y=378 px
1686395186.9255807 Coordinates x=287 px, y=379 px
1686395186.9414423 Coordinates x=287 px, y=379 px
1686395186.9569206 Coordinates x=288 px, y=380 px
1686395186.972811 Coordinates x=288 px, y=380 px
1686395186.9879375 Coordinates x=312 px, y=380 px
1686395187.0040438 Coordinates x=312 px, y=380 px
1686395187.0192943 Coordinates x=352 px, y=379 px
1686395187.0353503 Coordinates x=352 px, y=379 px
1686395187.0513813 Coordinates x=387 px, y=382 px
1686395187.0668855 Coordinates x=387 px, y=382 px
1686395187.0824223 Coordinates x=415 px, y=384 px
1686395187.09845 Coordinates x=415 px, y=384 px
1686395187.1135485 Coordinates x=430 px, y=385 px
1686395187.1291728 Coordinates x=430 px, y=385 px
1686395187.145449 Coordinates x=430 px, y=385 px
1686395187.1610224 Coordinates x=433 px, y=387 px
1686395187.1774082 Coordinates x=433 px, y=387 px
1686395187.192598 Coordinates x=434 px, y=387 px
1686395187.2079725 Coordinates x=434 px, y=387 px
1686395187.224088 Coordinates x=433 px, y=388 px
1686395187.2396853 Coordinates x=433 px, y=388 px
1686395187.2552307 Coordinates x=423 px, y=387 px
1686395187.270487 Coordinates x=423 px, y=387 px
1686395187.2862477 Coordinates x=414 px, y=388 px
1686395187.3017385 Coordinates x=414 px, y=388 px
1686395187.3174307 Coordinates x=407 px, y=389 px
1686395187.3335123 Coordinates x=407 px, y=389 px
1686395187.3492222 Coordinates x=398 px, y=390 px
1686395187.364231 Coordinates x=398 px, y=390 px
1686395187.3802814 Coordinates x=383 px, y=394 px
1686395187.3956594 Coordinates x=383 px, y=394 px
1686395187.4113612 Coordinates x=383 px, y=394 px
1686395187.4272614 Coordinates x=370 px, y=403 px
1686395187.4426162 Coordinates x=370 px, y=403 px
1686395187.4587126 Coordinates x=353 px, y=417 px
1686395187.4743688 Coordinates x=353 px, y=417 px
1686395187.4899592 Coordinates x=339 px, y=421 px
1686395187.5055661 Coordinates x=339 px, y=421 px
1686395187.5207694 Coordinates x=337 px, y=422 px
1686395187.5365741 Coordinates x=337 px, y=422 px
1686395187.5519376 Coordinates x=332 px, y=422 px
1686395187.5680485 Coordinates x=332 px, y=422 px
1686395187.582988 Coordinates x=330 px, y=422 px
1686395187.5992122 Coordinates x=330 px, y=422 px
1686395187.6147451 Coordinates x=327 px, y=423 px
1686395187.6309867 Coordinates x=327 px, y=423 px
1686395187.646056 Coordinates x=989 px, y=736 px
1686395187.6616523 Coordinates x=989 px, y=736 px
1686395187.6768377 Coordinates x=989 px, y=736 px
1686395187.6927612 Coordinates x=1233 px, y=883 px
1686395187.7083826 Coordinates x=1233 px, y=883 px
1686395187.724833 Coordinates x=1266 px, y=901 px
1686395187.7405987 Coordinates x=1266 px, y=901 px
1686395187.7568645 Coordinates x=1309 px, y=912 px
1686395187.7721477 Coordinates x=1309 px, y=912 px
1686395187.787483 Coordinates x=1340 px, y=922 px
1686395187.8036618 Coordinates x=1340 px, y=922 px
1686395187.8185887 Coordinates x=1341 px, y=927 px
1686395187.8335726 Coordinates x=1341 px, y=927 px
1686395187.8488352 Coordinates x=1330 px, y=943 px
1686395187.8638742 Coordinates x=1330 px, y=943 px
1686395187.8798153 Coordinates x=1330 px, y=943 px
1686395187.8954813 Coordinates x=1313 px, y=960 px
1686395187.9113078 Coordinates x=1313 px, y=960 px
1686395187.9266725 Coordinates x=1297 px, y=983 px
1686395187.942079 Coordinates x=1297 px, y=983 px
1686395187.9569898 Coordinates x=1298 px, y=995 px
1686395187.9724574 Coordinates x=1298 px, y=995 px
1686395187.9884672 Coordinates x=1296 px, y=1014 px
1686395188.0049005 Coordinates x=1296 px, y=1014 px
1686395188.0202088 Coordinates x=1290 px, y=1021 px
1686395188.0361638 Coordinates x=1290 px, y=1021 px
1686395188.052292 Coordinates x=1289 px, y=1031 px
1686395188.0678906 Coordinates x=1289 px, y=1031 px
1686395188.084062 Coordinates x=1289 px, y=1039 px
1686395188.0992672 Coordinates x=1289 px, y=1039 px
1686395188.1151824 Coordinates x=1287 px, y=1042 px
1686395188.1305318 Coordinates x=1287 px, y=1042 px
1686395188.1459548 Coordinates x=1286 px, y=1043 px
1686395188.161368 Coordinates x=1286 px, y=1043 px
1686395188.1776865 Coordinates x=1285 px, y=1043 px
1686395188.1934373 Coordinates x=1285 px, y=1043 px
1686395188.2093322 Coordinates x=1284 px, y=1043 px
1686395188.2252681 Coordinates x=1284 px, y=1043 px
1686395188.2403078 Coordinates x=1284 px, y=1043 px
1686395188.256043 Coordinates x=1284 px, y=1043 px
1686395188.2715163 Coordinates x=1284 px, y=1043 px
1686395188.2873423 Coordinates x=1284 px, y=1042 px
1686395188.3034792 Coordinates x=1284 px, y=1042 px
1686395188.3193476 Coordinates x=1284 px, y=1042 px
1686395188.3353848 Coordinates x=1284 px, y=1042 px
1686395188.3505595 Coordinates x=1191 px, y=992 px
1686395188.3661947 Coordinates x=1191 px, y=992 px
1686395188.3814309 Coordinates x=797 px, y=718 px
1686395188.3967838 Coordinates x=797 px, y=718 px
1686395188.4127614 Coordinates x=723 px, y=660 px
1686395188.4287083 Coordinates x=723 px, y=660 px
1686395188.4448035 Coordinates x=681 px, y=589 px
1686395188.4605381 Coordinates x=681 px, y=589 px
1686395188.4765532 Coordinates x=653 px, y=536 px
1686395188.4925506 Coordinates x=653 px, y=536 px
1686395188.507543 Coordinates x=653 px, y=536 px
1686395188.5235503 Coordinates x=639 px, y=491 px
1686395188.5395463 Coordinates x=639 px, y=491 px
1686395188.5555935 Coordinates x=634 px, y=468 px
1686395188.5712535 Coordinates x=634 px, y=468 px
1686395188.5872586 Coordinates x=564 px, y=440 px
1686395188.6032581 Coordinates x=564 px, y=440 px
1686395188.6192997 Coordinates x=498 px, y=422 px
1686395188.6353118 Coordinates x=498 px, y=422 px
1686395188.6505563 Coordinates x=463 px, y=416 px
1686395188.665972 Coordinates x=463 px, y=416 px
1686395188.6812181 Coordinates x=426 px, y=397 px
1686395188.6972358 Coordinates x=426 px, y=397 px
1686395188.713221 Coordinates x=403 px, y=391 px
1686395188.7286599 Coordinates x=403 px, y=391 px
1686395188.743742 Coordinates x=387 px, y=388 px
1686395188.759307 Coordinates x=387 px, y=388 px
1686395188.7748876 Coordinates x=383 px, y=387 px
1686395188.7907655 Coordinates x=383 px, y=387 px
1686395188.8066626 Coordinates x=383 px, y=387 px
1686395188.821977 Coordinates x=383 px, y=388 px
1686395188.837326 Coordinates x=388 px, y=391 px
1686395188.8531406 Coordinates x=388 px, y=391 px
1686395188.8688228 Coordinates x=388 px, y=391 px
1686395188.8850214 Coordinates x=392 px, y=390 px
1686395188.900699 Coordinates x=392 px, y=390 px
1686395188.9165912 Coordinates x=410 px, y=392 px
1686395188.932439 Coordinates x=410 px, y=392 px
1686395188.9476979 Coordinates x=421 px, y=392 px
1686395188.9634285 Coordinates x=421 px, y=392 px
1686395188.9791517 Coordinates x=424 px, y=394 px
1686395188.994591 Coordinates x=424 px, y=394 px
1686395189.0103793 Coordinates x=417 px, y=397 px
1686395189.025505 Coordinates x=417 px, y=397 px
1686395189.0407324 Coordinates x=417 px, y=397 px
1686395189.0558956 Coordinates x=402 px, y=395 px
1686395189.0711327 Coordinates x=402 px, y=395 px
1686395189.0869524 Coordinates x=361 px, y=391 px
1686395189.1025603 Coordinates x=361 px, y=391 px
1686395189.1177878 Coordinates x=329 px, y=389 px
1686395189.1335742 Coordinates x=329 px, y=389 px
1686395189.1489475 Coordinates x=295 px, y=387 px
1686395189.1650345 Coordinates x=295 px, y=387 px
1686395189.1800628 Coordinates x=269 px, y=388 px
1686395189.1955426 Coordinates x=269 px, y=388 px
1686395189.211058 Coordinates x=269 px, y=388 px
1686395189.2264714 Coordinates x=264 px, y=389 px
1686395189.2424915 Coordinates x=264 px, y=389 px
1686395189.257949 Coordinates x=263 px, y=389 px
1686395189.2734847 Coordinates x=263 px, y=389 px
1686395189.2899146 Coordinates x=267 px, y=391 px
1686395189.3050406 Coordinates x=267 px, y=391 px
1686395189.3206894 Coordinates x=285 px, y=396 px
1686395189.3365715 Coordinates x=285 px, y=396 px
1686395189.351918 Coordinates x=315 px, y=405 px
1686395189.3674028 Coordinates x=315 px, y=405 px
1686395189.3829916 Coordinates x=332 px, y=408 px
1686395189.398263 Coordinates x=332 px, y=408 px
1686395189.4138236 Coordinates x=350 px, y=410 px
