1686478420.8875375 Coordinates x=86 px, y=866 px
1686478420.9094958 Coordinates x=86 px, y=866 px
1686478420.9251282 Coordinates x=86 px, y=871 px
1686478420.9407277 Coordinates x=86 px, y=871 px
1686478420.9566565 Coordinates x=86 px, y=873 px
1686478420.972378 Coordinates x=86 px, y=873 px
1686478420.9885278 Coordinates x=86 px, y=875 px
1686478421.0042133 Coordinates x=86 px, y=875 px
1686478421.019961 Coordinates x=758 px, y=690 px
1686478421.0354524 Coordinates x=758 px, y=690 px
1686478421.0508764 Coordinates x=954 px, y=571 px
1686478421.0664194 Coordinates x=954 px, y=571 px
1686478421.0820026 Coordinates x=1017 px, y=509 px
1686478421.1019576 Coordinates x=1017 px, y=509 px
1686478421.1177945 Coordinates x=1073 px, y=421 px
1686478421.1333866 Coordinates x=1073 px, y=421 px
1686478421.1490595 Coordinates x=1085 px, y=382 px
1686478421.1646752 Coordinates x=1085 px, y=382 px
1686478421.1803052 Coordinates x=1085 px, y=382 px
1686478421.1963472 Coordinates x=1088 px, y=363 px
1686478421.2112355 Coordinates x=1088 px, y=363 px
1686478421.2287605 Coordinates x=1098 px, y=337 px
1686478421.244342 Coordinates x=1098 px, y=337 px
1686478421.2687752 Coordinates x=1102 px, y=324 px
1686478421.2840142 Coordinates x=1107 px, y=311 px
1686478421.299862 Coordinates x=1107 px, y=311 px
1686478421.3155303 Coordinates x=1116 px, y=299 px
1686478421.3309808 Coordinates x=1116 px, y=299 px
1686478421.3467746 Coordinates x=1133 px, y=283 px
1686478421.3623104 Coordinates x=1133 px, y=283 px
1686478421.377786 Coordinates x=1133 px, y=283 px
1686478421.3938327 Coordinates x=1172 px, y=262 px
1686478421.4096892 Coordinates x=1172 px, y=262 px
1686478421.4251468 Coordinates x=1207 px, y=245 px
1686478421.440797 Coordinates x=1207 px, y=245 px
1686478421.4564264 Coordinates x=1243 px, y=231 px
1686478421.472096 Coordinates x=1243 px, y=231 px
1686478421.4877944 Coordinates x=1259 px, y=222 px
1686478421.5034816 Coordinates x=1259 px, y=222 px
1686478421.5191915 Coordinates x=1259 px, y=222 px
1686478421.5347276 Coordinates x=1272 px, y=219 px
1686478421.5504503 Coordinates x=1272 px, y=219 px
1686478421.565949 Coordinates x=1282 px, y=218 px
1686478421.5817604 Coordinates x=1291 px, y=226 px
1686478421.5980072 Coordinates x=1291 px, y=226 px
1686478421.613789 Coordinates x=1291 px, y=226 px
1686478421.6295128 Coordinates x=1341 px, y=550 px
1686478421.645145 Coordinates x=1341 px, y=550 px
1686478421.6605823 Coordinates x=1351 px, y=602 px
1686478421.676152 Coordinates x=1351 px, y=602 px
1686478421.692127 Coordinates x=1366 px, y=679 px
1686478421.7080095 Coordinates x=1366 px, y=679 px
1686478421.7236028 Coordinates x=1373 px, y=710 px
1686478421.7390754 Coordinates x=1373 px, y=710 px
1686478421.7547753 Coordinates x=1380 px, y=736 px
1686478421.7703564 Coordinates x=1380 px, y=736 px
1686478421.7856095 Coordinates x=1367 px, y=738 px
1686478421.8013883 Coordinates x=1367 px, y=738 px
1686478421.8171165 Coordinates x=1271 px, y=715 px
1686478421.8326092 Coordinates x=1271 px, y=715 px
1686478421.848232 Coordinates x=1167 px, y=671 px
1686478421.863993 Coordinates x=1167 px, y=671 px
1686478421.8797176 Coordinates x=1100 px, y=626 px
1686478421.8958838 Coordinates x=1100 px, y=626 px
1686478421.9111066 Coordinates x=1100 px, y=626 px
1686478421.9266624 Coordinates x=1100 px, y=626 px
1686478421.9427428 Coordinates x=1061 px, y=600 px
1686478421.9578085 Coordinates x=1042 px, y=582 px
1686478421.973243 Coordinates x=1042 px, y=582 px
1686478421.9888828 Coordinates x=1029 px, y=567 px
1686478422.0044067 Coordinates x=1029 px, y=567 px
1686478422.019643 Coordinates x=1020 px, y=557 px
1686478422.0356529 Coordinates x=1020 px, y=557 px
1686478422.051648 Coordinates x=1014 px, y=548 px
1686478422.067634 Coordinates x=1014 px, y=548 px
1686478422.0826895 Coordinates x=978 px, y=529 px
1686478422.0986233 Coordinates x=978 px, y=529 px
1686478422.1143763 Coordinates x=498 px, y=502 px
1686478422.1299658 Coordinates x=498 px, y=502 px
1686478422.1459928 Coordinates x=412 px, y=503 px
1686478422.161974 Coordinates x=412 px, y=503 px
1686478422.1775482 Coordinates x=357 px, y=510 px
1686478422.2023137 Coordinates x=357 px, y=510 px
1686478422.2178106 Coordinates x=308 px, y=510 px
1686478422.2331717 Coordinates x=308 px, y=510 px
1686478422.2483468 Coordinates x=276 px, y=505 px
1686478422.2640412 Coordinates x=276 px, y=505 px
1686478422.2791774 Coordinates x=276 px, y=505 px
1686478422.294954 Coordinates x=223 px, y=407 px
1686478422.3102562 Coordinates x=223 px, y=407 px
1686478422.3260493 Coordinates x=184 px, y=321 px
1686478422.3419611 Coordinates x=184 px, y=321 px
1686478422.357543 Coordinates x=167 px, y=280 px
1686478422.3727057 Coordinates x=167 px, y=280 px
1686478422.3878374 Coordinates x=155 px, y=255 px
1686478422.4034848 Coordinates x=155 px, y=255 px
1686478422.419381 Coordinates x=148 px, y=241 px
1686478422.4353087 Coordinates x=148 px, y=241 px
1686478422.4503312 Coordinates x=143 px, y=231 px
1686478422.4663746 Coordinates x=143 px, y=231 px
1686478422.4818041 Coordinates x=145 px, y=212 px
1686478422.497636 Coordinates x=145 px, y=212 px
1686478422.5130267 Coordinates x=145 px, y=212 px
1686478422.5283525 Coordinates x=154 px, y=195 px
1686478422.5441363 Coordinates x=154 px, y=195 px
1686478422.5598161 Coordinates x=167 px, y=184 px
1686478422.5757728 Coordinates x=167 px, y=184 px
1686478422.591171 Coordinates x=177 px, y=177 px
1686478422.607133 Coordinates x=177 px, y=177 px
1686478422.6231377 Coordinates x=196 px, y=165 px
1686478422.639103 Coordinates x=196 px, y=165 px
1686478422.6549246 Coordinates x=247 px, y=149 px
1686478422.670599 Coordinates x=247 px, y=149 px
1686478422.6856549 Coordinates x=300 px, y=139 px
1686478422.701358 Coordinates x=300 px, y=139 px
1686478422.7165508 Coordinates x=334 px, y=135 px
1686478422.7363281 Coordinates x=334 px, y=135 px
1686478422.7519557 Coordinates x=355 px, y=130 px
1686478422.7675562 Coordinates x=355 px, y=130 px
1686478422.7831576 Coordinates x=373 px, y=127 px
1686478422.7993228 Coordinates x=373 px, y=127 px
1686478422.815137 Coordinates x=398 px, y=122 px
1686478422.8307714 Coordinates x=398 px, y=122 px
1686478422.846414 Coordinates x=398 px, y=122 px
1686478422.8620539 Coordinates x=439 px, y=118 px
1686478422.8776665 Coordinates x=439 px, y=118 px
1686478422.8937132 Coordinates x=475 px, y=114 px
1686478422.9092224 Coordinates x=475 px, y=114 px
1686478422.924669 Coordinates x=495 px, y=116 px
1686478422.9375756 Coordinates x=495 px, y=116 px
1686478422.9533193 Coordinates x=520 px, y=119 px
1686478422.9690228 Coordinates x=520 px, y=119 px
1686478422.984678 Coordinates x=537 px, y=120 px
1686478423.000804 Coordinates x=537 px, y=120 px
1686478423.016648 Coordinates x=553 px, y=121 px
1686478423.0321815 Coordinates x=553 px, y=121 px
1686478423.0478952 Coordinates x=570 px, y=121 px
1686478423.0635257 Coordinates x=570 px, y=121 px
1686478423.078961 Coordinates x=570 px, y=121 px
1686478423.0947156 Coordinates x=593 px, y=122 px
1686478423.1104693 Coordinates x=593 px, y=122 px
1686478423.126084 Coordinates x=685 px, y=117 px
1686478423.1417587 Coordinates x=685 px, y=117 px
1686478423.1573954 Coordinates x=757 px, y=114 px
1686478423.17301 Coordinates x=757 px, y=114 px
1686478423.1892154 Coordinates x=798 px, y=113 px
1686478423.2049837 Coordinates x=798 px, y=113 px
1686478423.2204928 Coordinates x=827 px, y=111 px
1686478423.2363105 Coordinates x=827 px, y=111 px
1686478423.2519174 Coordinates x=839 px, y=110 px
1686478423.2675629 Coordinates x=839 px, y=110 px
1686478423.2831638 Coordinates x=845 px, y=110 px
1686478423.2993805 Coordinates x=845 px, y=110 px
1686478423.3152032 Coordinates x=849 px, y=110 px
1686478423.330767 Coordinates x=849 px, y=110 px
1686478423.3464913 Coordinates x=851 px, y=110 px
1686478423.3619926 Coordinates x=851 px, y=110 px
1686478423.3777304 Coordinates x=851 px, y=110 px
1686478423.3939688 Coordinates x=852 px, y=111 px
1686478423.4098136 Coordinates x=852 px, y=111 px
1686478423.4254405 Coordinates x=853 px, y=111 px
1686478423.441071 Coordinates x=853 px, y=111 px
1686478423.4567032 Coordinates x=853 px, y=111 px
1686478423.472278 Coordinates x=853 px, y=111 px
1686478423.4885252 Coordinates x=853 px, y=111 px
1686478423.5041738 Coordinates x=853 px, y=111 px
1686478423.519916 Coordinates x=853 px, y=112 px
1686478423.5355947 Coordinates x=853 px, y=112 px
1686478423.5512168 Coordinates x=857 px, y=113 px
1686478423.5668375 Coordinates x=857 px, y=113 px
1686478423.5824628 Coordinates x=869 px, y=117 px
1686478423.5985065 Coordinates x=869 px, y=117 px
1686478423.6143618 Coordinates x=869 px, y=117 px
1686478423.6299727 Coordinates x=894 px, y=127 px
1686478423.645527 Coordinates x=894 px, y=127 px
1686478423.661142 Coordinates x=907 px, y=134 px
1686478423.6768274 Coordinates x=907 px, y=134 px
1686478423.6931422 Coordinates x=914 px, y=140 px
1686478423.7089567 Coordinates x=914 px, y=140 px
1686478423.7245746 Coordinates x=920 px, y=142 px
1686478423.7402492 Coordinates x=920 px, y=142 px
1686478423.755871 Coordinates x=923 px, y=143 px
1686478423.7714283 Coordinates x=923 px, y=143 px
1686478423.787029 Coordinates x=927 px, y=145 px
1686478423.8031619 Coordinates x=927 px, y=145 px
1686478423.8189046 Coordinates x=945 px, y=147 px
1686478423.8346326 Coordinates x=945 px, y=147 px
1686478423.850261 Coordinates x=970 px, y=150 px
1686478423.8658822 Coordinates x=970 px, y=150 px
1686478423.8815014 Coordinates x=1004 px, y=150 px
1686478423.8978527 Coordinates x=1004 px, y=150 px
1686478423.913722 Coordinates x=1004 px, y=150 px
1686478423.9293237 Coordinates x=1031 px, y=141 px
1686478423.9449668 Coordinates x=1031 px, y=141 px
1686478423.9605606 Coordinates x=1101 px, y=122 px
1686478423.9761667 Coordinates x=1101 px, y=122 px
1686478423.9920297 Coordinates x=1172 px, y=105 px
1686478424.0078528 Coordinates x=1172 px, y=105 px
1686478424.0234976 Coordinates x=1210 px, y=92 px
1686478424.0390975 Coordinates x=1210 px, y=92 px
1686478424.0546536 Coordinates x=1228 px, y=85 px
1686478424.07029 Coordinates x=1228 px, y=85 px
1686478424.0859904 Coordinates x=1242 px, y=79 px
1686478424.101918 Coordinates x=1242 px, y=79 px
1686478424.1177251 Coordinates x=1251 px, y=76 px
1686478424.133378 Coordinates x=1251 px, y=76 px
1686478424.1490188 Coordinates x=1258 px, y=74 px
1686478424.164638 Coordinates x=1258 px, y=74 px
1686478424.1802595 Coordinates x=1291 px, y=74 px
1686478424.1960635 Coordinates x=1291 px, y=74 px
1686478424.2119088 Coordinates x=1334 px, y=79 px
1686478424.2275305 Coordinates x=1334 px, y=79 px
1686478424.2431412 Coordinates x=1334 px, y=79 px
1686478424.2587714 Coordinates x=1367 px, y=85 px
1686478424.274312 Coordinates x=1367 px, y=85 px
1686478424.289532 Coordinates x=1382 px, y=88 px
1686478424.3053393 Coordinates x=1382 px, y=88 px
1686478424.3209195 Coordinates x=1393 px, y=92 px
1686478424.3365707 Coordinates x=1393 px, y=92 px
1686478424.3522468 Coordinates x=1402 px, y=96 px
1686478424.3678613 Coordinates x=1402 px, y=96 px
1686478424.3835022 Coordinates x=1409 px, y=99 px
1686478424.3994317 Coordinates x=1409 px, y=99 px
1686478424.4152627 Coordinates x=1449 px, y=109 px
1686478424.4308627 Coordinates x=1449 px, y=109 px
1686478424.4465363 Coordinates x=1533 px, y=118 px
1686478424.4621656 Coordinates x=1533 px, y=118 px
1686478424.4777722 Coordinates x=1533 px, y=118 px
1686478424.4937048 Coordinates x=1584 px, y=121 px
1686478424.5095425 Coordinates x=1584 px, y=121 px
1686478424.525166 Coordinates x=1614 px, y=123 px
1686478424.5408015 Coordinates x=1614 px, y=123 px
1686478424.5564294 Coordinates x=1643 px, y=122 px
1686478424.5720243 Coordinates x=1643 px, y=122 px
1686478424.5875888 Coordinates x=1661 px, y=119 px
1686478424.6034155 Coordinates x=1661 px, y=119 px
1686478424.6192188 Coordinates x=1671 px, y=115 px
1686478424.634835 Coordinates x=1671 px, y=115 px
1686478424.6505148 Coordinates x=1679 px, y=111 px
1686478424.666089 Coordinates x=1679 px, y=111 px
1686478424.6817043 Coordinates x=1683 px, y=109 px
1686478424.6976125 Coordinates x=1683 px, y=109 px
1686478424.7134604 Coordinates x=1683 px, y=109 px
1686478424.7290933 Coordinates x=1686 px, y=107 px
1686478424.7447088 Coordinates x=1686 px, y=107 px
1686478424.7603407 Coordinates x=1690 px, y=103 px
1686478424.7758708 Coordinates x=1690 px, y=103 px
1686478424.7915013 Coordinates x=1721 px, y=92 px
1686478424.8072484 Coordinates x=1721 px, y=92 px
1686478424.8228824 Coordinates x=1820 px, y=77 px
1686478424.8385177 Coordinates x=1820 px, y=77 px
1686478424.8541245 Coordinates x=1897 px, y=69 px
1686478424.869657 Coordinates x=1897 px, y=69 px
1686478424.8854067 Coordinates x=1960 px, y=56 px
1686478424.901163 Coordinates x=1960 px, y=56 px
1686478424.9169245 Coordinates x=1960 px, y=56 px
1686478424.9325345 Coordinates x=1999 px, y=54 px
1686478424.9481683 Coordinates x=2025 px, y=53 px
1686478424.9637918 Coordinates x=2025 px, y=53 px
1686478424.9793606 Coordinates x=2025 px, y=53 px
1686478424.9953678 Coordinates x=2037 px, y=53 px
1686478425.0183728 Coordinates x=2037 px, y=53 px
1686478425.0340445 Coordinates x=2040 px, y=53 px
1686478425.0497866 Coordinates x=2042 px, y=54 px
1686478425.0654109 Coordinates x=2042 px, y=54 px
1686478425.0810258 Coordinates x=2044 px, y=54 px
1686478425.0972033 Coordinates x=2044 px, y=54 px
1686478425.1129375 Coordinates x=2044 px, y=54 px
1686478425.1286619 Coordinates x=2046 px, y=53 px
1686478425.1439254 Coordinates x=2046 px, y=53 px
1686478425.1594276 Coordinates x=2045 px, y=52 px
1686478425.1861603 Coordinates x=2043 px, y=51 px
1686478425.2021017 Coordinates x=2043 px, y=51 px
1686478425.2179499 Coordinates x=2031 px, y=50 px
1686478425.2335434 Coordinates x=2031 px, y=50 px
1686478425.249208 Coordinates x=2017 px, y=49 px
1686478425.2646947 Coordinates x=2017 px, y=49 px
