1686487584.2583957 Coordinates x=896 px, y=499 px
1686487584.2880337 Coordinates x=895 px, y=497 px
1686487584.3038871 Coordinates x=895 px, y=497 px
1686487584.3189 Coordinates x=894 px, y=495 px
1686487584.339295 Coordinates x=894 px, y=495 px
1686487584.3551986 Coordinates x=892 px, y=493 px
1686487584.3708222 Coordinates x=892 px, y=493 px
1686487584.3864274 Coordinates x=891 px, y=492 px
1686487584.4023044 Coordinates x=891 px, y=492 px
1686487584.4182138 Coordinates x=890 px, y=491 px
1686487584.4337184 Coordinates x=890 px, y=491 px
1686487584.4494023 Coordinates x=890 px, y=491 px
1686487584.464885 Coordinates x=890 px, y=491 px
1686487584.4801757 Coordinates x=890 px, y=491 px
1686487584.4962058 Coordinates x=890 px, y=491 px
1686487584.5114439 Coordinates x=890 px, y=491 px
1686487584.5261505 Coordinates x=890 px, y=491 px
1686487584.5420437 Coordinates x=893 px, y=491 px
1686487584.5581203 Coordinates x=893 px, y=491 px
1686487584.5740411 Coordinates x=893 px, y=491 px
1686487584.5898273 Coordinates x=894 px, y=491 px
1686487584.6056697 Coordinates x=894 px, y=491 px
1686487584.6215158 Coordinates x=856 px, y=484 px
1686487584.6374524 Coordinates x=856 px, y=484 px
1686487584.653299 Coordinates x=737 px, y=457 px
1686487584.6688938 Coordinates x=737 px, y=457 px
1686487584.6845036 Coordinates x=661 px, y=437 px
1686487584.7001421 Coordinates x=661 px, y=437 px
1686487584.7158108 Coordinates x=614 px, y=424 px
1686487584.7314212 Coordinates x=614 px, y=424 px
1686487584.7473462 Coordinates x=586 px, y=415 px
1686487584.763202 Coordinates x=586 px, y=415 px
1686487584.7786317 Coordinates x=540 px, y=393 px
1686487584.7944417 Coordinates x=540 px, y=393 px
1686487584.8100798 Coordinates x=540 px, y=393 px
1686487584.8256688 Coordinates x=498 px, y=381 px
1686487584.8406365 Coordinates x=498 px, y=381 px
1686487584.8558638 Coordinates x=454 px, y=367 px
1686487584.8719358 Coordinates x=454 px, y=367 px
1686487584.887608 Coordinates x=430 px, y=355 px
1686487584.9032662 Coordinates x=430 px, y=355 px
1686487584.93515 Coordinates x=409 px, y=346 px
1686487584.9511576 Coordinates x=395 px, y=339 px
1686487584.9671674 Coordinates x=395 px, y=339 px
1686487584.9829085 Coordinates x=375 px, y=334 px
1686487584.9988778 Coordinates x=375 px, y=334 px
1686487585.0140815 Coordinates x=354 px, y=327 px
1686487585.0300925 Coordinates x=354 px, y=327 px
1686487585.0461297 Coordinates x=343 px, y=324 px
1686487585.0611367 Coordinates x=343 px, y=324 px
1686487585.0761929 Coordinates x=343 px, y=324 px
1686487585.0922883 Coordinates x=333 px, y=325 px
1686487585.107938 Coordinates x=333 px, y=325 px
1686487585.1239727 Coordinates x=332 px, y=325 px
1686487585.1395726 Coordinates x=332 px, y=325 px
1686487585.1552758 Coordinates x=342 px, y=322 px
1686487585.171356 Coordinates x=342 px, y=322 px
1686487585.186673 Coordinates x=384 px, y=317 px
1686487585.202601 Coordinates x=384 px, y=317 px
1686487585.2224696 Coordinates x=414 px, y=314 px
1686487585.238409 Coordinates x=414 px, y=314 px
1686487585.2542813 Coordinates x=447 px, y=310 px
1686487585.2697299 Coordinates x=447 px, y=310 px
1686487585.285546 Coordinates x=476 px, y=307 px
1686487585.3011723 Coordinates x=476 px, y=307 px
1686487585.3167534 Coordinates x=478 px, y=311 px
1686487585.3323753 Coordinates x=478 px, y=311 px
1686487585.348142 Coordinates x=478 px, y=342 px
1686487585.3642006 Coordinates x=478 px, y=342 px
1686487585.3798602 Coordinates x=472 px, y=412 px
1686487585.3953407 Coordinates x=472 px, y=412 px
1686487585.4109747 Coordinates x=463 px, y=474 px
1686487585.4267786 Coordinates x=463 px, y=474 px
1686487585.4422102 Coordinates x=463 px, y=474 px
1686487585.4572177 Coordinates x=460 px, y=509 px
1686487585.4733691 Coordinates x=460 px, y=509 px
1686487585.4891956 Coordinates x=458 px, y=528 px
1686487585.5048068 Coordinates x=458 px, y=528 px
1686487585.5204136 Coordinates x=456 px, y=543 px
1686487585.5360856 Coordinates x=456 px, y=543 px
1686487585.5523105 Coordinates x=456 px, y=554 px
1686487585.5681565 Coordinates x=456 px, y=554 px
1686487585.5837893 Coordinates x=455 px, y=561 px
1686487585.5994053 Coordinates x=455 px, y=561 px
1686487585.6150405 Coordinates x=445 px, y=571 px
1686487585.6306608 Coordinates x=445 px, y=571 px
1686487585.6465898 Coordinates x=441 px, y=576 px
1686487585.6622715 Coordinates x=441 px, y=576 px
1686487585.6780696 Coordinates x=435 px, y=580 px
1686487585.6937017 Coordinates x=435 px, y=580 px
1686487585.7092907 Coordinates x=435 px, y=580 px
1686487585.7248132 Coordinates x=427 px, y=584 px
1686487585.7406533 Coordinates x=427 px, y=584 px
1686487585.7564654 Coordinates x=414 px, y=565 px
1686487585.7721164 Coordinates x=414 px, y=565 px
1686487585.7877414 Coordinates x=389 px, y=491 px
1686487585.803378 Coordinates x=389 px, y=491 px
1686487585.8190024 Coordinates x=376 px, y=453 px
1686487585.8346157 Coordinates x=376 px, y=453 px
1686487585.8505678 Coordinates x=367 px, y=428 px
1686487585.865249 Coordinates x=367 px, y=428 px
1686487585.8812447 Coordinates x=365 px, y=413 px
1686487585.8964057 Coordinates x=365 px, y=413 px
1686487585.9115338 Coordinates x=365 px, y=403 px
1686487585.9273891 Coordinates x=365 px, y=403 px
1686487585.942873 Coordinates x=366 px, y=398 px
1686487585.9587867 Coordinates x=366 px, y=398 px
1686487585.974801 Coordinates x=366 px, y=398 px
1686487585.9900367 Coordinates x=368 px, y=394 px
1686487586.0053155 Coordinates x=368 px, y=394 px
1686487586.0211127 Coordinates x=371 px, y=388 px
1686487586.0372355 Coordinates x=371 px, y=388 px
1686487586.0525308 Coordinates x=374 px, y=384 px
1686487586.0682652 Coordinates x=374 px, y=384 px
1686487586.084666 Coordinates x=376 px, y=378 px
1686487586.1058497 Coordinates x=376 px, y=378 px
1686487586.1216972 Coordinates x=378 px, y=389 px
1686487586.1373124 Coordinates x=378 px, y=389 px
1686487586.1535473 Coordinates x=386 px, y=552 px
1686487586.1693783 Coordinates x=386 px, y=552 px
1686487586.1850152 Coordinates x=389 px, y=643 px
