1687605207.2573125 Coordinates x=487 px, y=560 px
1687605207.2879882 Coordinates x=542 px, y=504 px
1687605207.3056865 Coordinates x=542 px, y=504 px
1687605207.3217127 Coordinates x=566 px, y=476 px
1687605207.3456116 Coordinates x=566 px, y=476 px
1687605207.3613434 Coordinates x=581 px, y=452 px
1687605207.3770642 Coordinates x=581 px, y=452 px
1687605207.3928158 Coordinates x=596 px, y=428 px
1687605207.4086616 Coordinates x=596 px, y=428 px
1687605207.424264 Coordinates x=606 px, y=416 px
1687605207.439845 Coordinates x=606 px, y=416 px
1687605207.4553375 Coordinates x=610 px, y=410 px
1687605207.4709709 Coordinates x=610 px, y=410 px
1687605207.486665 Coordinates x=610 px, y=410 px
1687605207.5023205 Coordinates x=612 px, y=407 px
1687605207.5181358 Coordinates x=612 px, y=407 px
1687605207.5334027 Coordinates x=613 px, y=405 px
1687605207.5493407 Coordinates x=618 px, y=403 px
1687605207.565022 Coordinates x=618 px, y=403 px
1687605207.580257 Coordinates x=618 px, y=403 px
1687605207.5960999 Coordinates x=826 px, y=388 px
1687605207.6120827 Coordinates x=826 px, y=388 px
1687605207.6272545 Coordinates x=924 px, y=388 px
1687605207.6428285 Coordinates x=924 px, y=388 px
1687605207.6581843 Coordinates x=997 px, y=390 px
1687605207.6739705 Coordinates x=997 px, y=390 px
1687605207.688984 Coordinates x=1049 px, y=388 px
1687605207.7110035 Coordinates x=1049 px, y=388 px
1687605207.7261693 Coordinates x=1085 px, y=385 px
1687605207.7415996 Coordinates x=1085 px, y=385 px
1687605207.756791 Coordinates x=1100 px, y=382 px
1687605207.7719421 Coordinates x=1100 px, y=382 px
1687605207.7879791 Coordinates x=1107 px, y=377 px
1687605207.8037195 Coordinates x=1107 px, y=377 px
1687605207.8189287 Coordinates x=1113 px, y=370 px
1687605207.8344297 Coordinates x=1113 px, y=370 px
1687605207.8504891 Coordinates x=1113 px, y=370 px
1687605207.8665013 Coordinates x=1116 px, y=361 px
1687605207.8821445 Coordinates x=1116 px, y=361 px
1687605207.8971925 Coordinates x=1118 px, y=350 px
1687605207.9128335 Coordinates x=1118 px, y=350 px
1687605207.9280107 Coordinates x=1119 px, y=342 px
1687605207.9436033 Coordinates x=1119 px, y=342 px
1687605207.9593558 Coordinates x=1116 px, y=339 px
1687605207.9750624 Coordinates x=1116 px, y=339 px
1687605207.9910913 Coordinates x=1112 px, y=338 px
1687605208.0068264 Coordinates x=1112 px, y=338 px
1687605208.0226192 Coordinates x=1110 px, y=338 px
1687605208.0383537 Coordinates x=1110 px, y=338 px
1687605208.054204 Coordinates x=1105 px, y=338 px
1687605208.0701995 Coordinates x=1105 px, y=338 px
1687605208.0854206 Coordinates x=1100 px, y=339 px
1687605208.1010003 Coordinates x=1100 px, y=339 px
1687605208.1170013 Coordinates x=1100 px, y=339 px
1687605208.1439834 Coordinates x=1095 px, y=343 px
1687605208.1596096 Coordinates x=1095 px, y=346 px
1687605208.17527 Coordinates x=1095 px, y=346 px
1687605208.1914403 Coordinates x=1095 px, y=349 px
1687605208.2071908 Coordinates x=1095 px, y=349 px
1687605208.2227824 Coordinates x=1094 px, y=351 px
1687605208.238556 Coordinates x=1094 px, y=351 px
1687605208.2542367 Coordinates x=1093 px, y=351 px
1687605208.2700129 Coordinates x=1093 px, y=351 px
1687605208.294107 Coordinates x=1093 px, y=351 px
1687605208.3093107 Coordinates x=1093 px, y=351 px
1687605208.3247612 Coordinates x=1093 px, y=350 px
1687605208.340391 Coordinates x=1093 px, y=350 px
1687605208.3560002 Coordinates x=1092 px, y=347 px
1687605208.371318 Coordinates x=1092 px, y=347 px
1687605208.3868263 Coordinates x=1092 px, y=347 px
1687605208.4018946 Coordinates x=1093 px, y=343 px
1687605208.4175112 Coordinates x=1093 px, y=343 px
1687605208.4334264 Coordinates x=1099 px, y=338 px
1687605208.4481695 Coordinates x=1099 px, y=338 px
1687605208.463858 Coordinates x=1110 px, y=329 px
1687605208.4799228 Coordinates x=1110 px, y=329 px
1687605208.4952812 Coordinates x=1129 px, y=321 px
1687605208.511004 Coordinates x=1129 px, y=321 px
1687605208.5268173 Coordinates x=1133 px, y=319 px
1687605208.5424502 Coordinates x=1133 px, y=319 px
1687605208.558059 Coordinates x=1135 px, y=314 px
1687605208.5735364 Coordinates x=1135 px, y=314 px
1687605208.5887227 Coordinates x=1135 px, y=314 px
1687605208.604534 Coordinates x=1134 px, y=314 px
1687605208.6200929 Coordinates x=1134 px, y=312 px
1687605208.635721 Coordinates x=1134 px, y=312 px
