1686389816.2144613 Coordinates x=880 px, y=350 px
1686389816.2344153 Coordinates x=881 px, y=347 px
1686389816.250527 Coordinates x=881 px, y=347 px
1686389816.2657804 Coordinates x=881 px, y=346 px
1686389816.2815154 Coordinates x=881 px, y=346 px
1686389816.2969775 Coordinates x=880 px, y=345 px
1686389816.3129826 Coordinates x=880 px, y=345 px
1686389816.329 Coordinates x=880 px, y=345 px
1686389816.3449914 Coordinates x=881 px, y=344 px
1686389816.3605323 Coordinates x=881 px, y=344 px
1686389816.3757422 Coordinates x=882 px, y=343 px
1686389816.3917704 Coordinates x=882 px, y=343 px
1686389816.4071004 Coordinates x=883 px, y=343 px
1686389816.4225953 Coordinates x=883 px, y=343 px
1686389816.4382162 Coordinates x=884 px, y=338 px
1686389816.4535983 Coordinates x=884 px, y=338 px
1686389816.4693341 Coordinates x=885 px, y=334 px
1686389816.4848824 Coordinates x=885 px, y=334 px
1686389816.501003 Coordinates x=885 px, y=332 px
1686389816.5166762 Coordinates x=885 px, y=332 px
1686389816.532272 Coordinates x=884 px, y=331 px
1686389816.5483549 Coordinates x=884 px, y=331 px
1686389816.5630624 Coordinates x=884 px, y=331 px
1686389816.5789902 Coordinates x=882 px, y=330 px
1686389816.5948815 Coordinates x=882 px, y=330 px
1686389816.61086 Coordinates x=878 px, y=329 px
1686389816.6268585 Coordinates x=878 px, y=329 px
1686389816.6422539 Coordinates x=865 px, y=337 px
1686389816.65807 Coordinates x=865 px, y=337 px
1686389816.673515 Coordinates x=846 px, y=365 px
1686389816.6892498 Coordinates x=846 px, y=365 px
1686389816.7052844 Coordinates x=835 px, y=392 px
1686389816.7209249 Coordinates x=835 px, y=392 px
1686389816.7364936 Coordinates x=823 px, y=410 px
1686389816.7524009 Coordinates x=823 px, y=410 px
1686389816.7674994 Coordinates x=817 px, y=423 px
1686389816.7833245 Coordinates x=817 px, y=423 px
1686389816.798887 Coordinates x=816 px, y=431 px
1686389816.8149009 Coordinates x=816 px, y=431 px
1686389816.829887 Coordinates x=816 px, y=431 px
1686389816.8458846 Coordinates x=817 px, y=437 px
1686389816.8611326 Coordinates x=817 px, y=437 px
1686389816.8766658 Coordinates x=837 px, y=440 px
1686389816.8918931 Coordinates x=837 px, y=440 px
1686389816.9076166 Coordinates x=865 px, y=443 px
1686389816.9224644 Coordinates x=865 px, y=443 px
1686389816.9385483 Coordinates x=873 px, y=439 px
1686389816.9541662 Coordinates x=873 px, y=439 px
1686389816.969756 Coordinates x=882 px, y=421 px
1686389816.9848332 Coordinates x=882 px, y=421 px
1686389817.0011005 Coordinates x=891 px, y=383 px
1686389817.0157986 Coordinates x=891 px, y=383 px
1686389817.0306966 Coordinates x=891 px, y=383 px
1686389817.0467067 Coordinates x=884 px, y=337 px
1686389817.0626998 Coordinates x=884 px, y=337 px
1686389817.0785944 Coordinates x=879 px, y=304 px
1686389817.0941255 Coordinates x=879 px, y=304 px
1686389817.1100376 Coordinates x=880 px, y=274 px
1686389817.1260688 Coordinates x=880 px, y=274 px
1686389817.1409361 Coordinates x=886 px, y=249 px
1686389817.1564226 Coordinates x=886 px, y=249 px
1686389817.1721008 Coordinates x=886 px, y=232 px
1686389817.1873367 Coordinates x=886 px, y=232 px
1686389817.2033608 Coordinates x=885 px, y=224 px
1686389817.2184765 Coordinates x=885 px, y=224 px
1686389817.2344708 Coordinates x=886 px, y=217 px
1686389817.25013 Coordinates x=886 px, y=217 px
1686389817.266147 Coordinates x=887 px, y=209 px
1686389817.2813666 Coordinates x=887 px, y=209 px
1686389817.2967217 Coordinates x=887 px, y=209 px
1686389817.312288 Coordinates x=888 px, y=200 px
1686389817.3283827 Coordinates x=888 px, y=200 px
1686389817.3442917 Coordinates x=898 px, y=186 px
1686389817.3599498 Coordinates x=898 px, y=186 px
1686389817.3755205 Coordinates x=914 px, y=161 px
1686389817.390585 Coordinates x=914 px, y=161 px
1686389817.4061868 Coordinates x=932 px, y=149 px
1686389817.4218626 Coordinates x=932 px, y=149 px
1686389817.4378526 Coordinates x=943 px, y=139 px
1686389817.4536877 Coordinates x=943 px, y=139 px
1686389817.4697614 Coordinates x=950 px, y=130 px
1686389817.4853501 Coordinates x=950 px, y=130 px
1686389817.5013413 Coordinates x=976 px, y=116 px
1686389817.5167837 Coordinates x=976 px, y=116 px
1686389817.5319562 Coordinates x=1004 px, y=100 px
1686389817.5474455 Coordinates x=1004 px, y=100 px
1686389817.5623605 Coordinates x=1007 px, y=97 px
1686389817.5775335 Coordinates x=1007 px, y=97 px
1686389817.5932407 Coordinates x=1007 px, y=97 px
1686389817.6093564 Coordinates x=1007 px, y=98 px
1686389817.6248176 Coordinates x=1007 px, y=98 px
1686389817.6395886 Coordinates x=1009 px, y=102 px
1686389817.6548362 Coordinates x=1009 px, y=102 px
1686389817.671283 Coordinates x=1010 px, y=104 px
1686389817.6874068 Coordinates x=1010 px, y=104 px
1686389817.7024438 Coordinates x=1016 px, y=101 px
1686389817.717791 Coordinates x=1016 px, y=101 px
1686389817.7332733 Coordinates x=1024 px, y=95 px
1686389817.748814 Coordinates x=1024 px, y=95 px
1686389817.7644384 Coordinates x=1032 px, y=88 px
1686389817.7804759 Coordinates x=1032 px, y=88 px
1686389817.7957556 Coordinates x=1095 px, y=84 px
1686389817.8119457 Coordinates x=1095 px, y=84 px
1686389817.8276613 Coordinates x=1095 px, y=84 px
1686389817.8430715 Coordinates x=1157 px, y=91 px
1686389817.8589916 Coordinates x=1157 px, y=91 px
1686389817.874552 Coordinates x=1179 px, y=98 px
1686389817.8900282 Coordinates x=1179 px, y=98 px
1686389817.9058027 Coordinates x=1202 px, y=99 px
1686389817.9209657 Coordinates x=1202 px, y=99 px
1686389817.9368505 Coordinates x=1234 px, y=97 px
1686389817.951793 Coordinates x=1234 px, y=97 px
1686389817.9668477 Coordinates x=1246 px, y=104 px
1686389817.9828684 Coordinates x=1246 px, y=104 px
1686389817.998447 Coordinates x=1245 px, y=108 px
1686389818.0135658 Coordinates x=1245 px, y=108 px
1686389818.028929 Coordinates x=1245 px, y=108 px
1686389818.0445428 Coordinates x=1242 px, y=112 px
1686389818.060077 Coordinates x=1242 px, y=112 px
1686389818.0755754 Coordinates x=1253 px, y=135 px
1686389818.0910306 Coordinates x=1253 px, y=135 px
1686389818.1062922 Coordinates x=1336 px, y=183 px
1686389818.1216736 Coordinates x=1336 px, y=183 px
1686389818.13664 Coordinates x=1336 px, y=183 px
1686389818.1521103 Coordinates x=1410 px, y=214 px
1686389818.1675425 Coordinates x=1421 px, y=228 px
1686389818.1837456 Coordinates x=1421 px, y=228 px
1686389818.1989684 Coordinates x=1425 px, y=229 px
1686389818.2147152 Coordinates x=1425 px, y=229 px
1686389818.2300017 Coordinates x=1425 px, y=229 px
1686389818.245298 Coordinates x=1426 px, y=230 px
1686389818.2610807 Coordinates x=1426 px, y=230 px
1686389818.2766209 Coordinates x=1429 px, y=231 px
1686389818.2924085 Coordinates x=1429 px, y=231 px
1686389818.3085182 Coordinates x=1432 px, y=231 px
1686389818.3240051 Coordinates x=1432 px, y=231 px
1686389818.3395553 Coordinates x=1463 px, y=227 px
1686389818.355152 Coordinates x=1463 px, y=227 px
1686389818.370991 Coordinates x=1509 px, y=220 px
1686389818.386192 Coordinates x=1509 px, y=220 px
1686389818.4016302 Coordinates x=1586 px, y=212 px
1686389818.4171364 Coordinates x=1586 px, y=212 px
1686389818.4325469 Coordinates x=1586 px, y=212 px
1686389818.447712 Coordinates x=1605 px, y=209 px
1686389818.4638443 Coordinates x=1605 px, y=209 px
1686389818.4789732 Coordinates x=1621 px, y=210 px
1686389818.4942968 Coordinates x=1621 px, y=210 px
1686389818.5100133 Coordinates x=1641 px, y=213 px
1686389818.52514 Coordinates x=1641 px, y=213 px
1686389818.5414379 Coordinates x=1647 px, y=218 px
1686389818.5571346 Coordinates x=1647 px, y=218 px
1686389818.5725417 Coordinates x=1666 px, y=229 px
1686389818.5880098 Coordinates x=1666 px, y=229 px
1686389818.6034875 Coordinates x=1680 px, y=290 px
1686389818.6194339 Coordinates x=1680 px, y=290 px
1686389818.635022 Coordinates x=1682 px, y=318 px
1686389818.650148 Coordinates x=1682 px, y=318 px
1686389818.6660113 Coordinates x=1666 px, y=344 px
1686389818.682049 Coordinates x=1666 px, y=344 px
1686389818.6980324 Coordinates x=1666 px, y=349 px
1686389818.7137911 Coordinates x=1666 px, y=349 px
1686389818.7289047 Coordinates x=1666 px, y=349 px
1686389818.7450967 Coordinates x=1666 px, y=349 px
1686389818.7601604 Coordinates x=1667 px, y=354 px
1686389818.7756526 Coordinates x=1667 px, y=354 px
1686389818.790757 Coordinates x=1670 px, y=355 px
1686389818.8066745 Coordinates x=1671 px, y=357 px
1686389818.8217936 Coordinates x=1671 px, y=357 px
1686389818.8369575 Coordinates x=1675 px, y=361 px
1686389818.852879 Coordinates x=1675 px, y=361 px
1686389818.8680205 Coordinates x=1680 px, y=364 px
1686389818.8841362 Coordinates x=1680 px, y=364 px
1686389818.8998654 Coordinates x=1687 px, y=364 px
1686389818.9151106 Coordinates x=1687 px, y=364 px
1686389818.9301643 Coordinates x=1687 px, y=364 px
1686389818.9454353 Coordinates x=1720 px, y=379 px
1686389818.9609787 Coordinates x=1720 px, y=379 px
1686389818.9764817 Coordinates x=1752 px, y=394 px
1686389818.991836 Coordinates x=1752 px, y=394 px
1686389819.0072455 Coordinates x=1786 px, y=407 px
1686389819.0229065 Coordinates x=1786 px, y=407 px
1686389819.0387876 Coordinates x=1814 px, y=413 px
1686389819.054166 Coordinates x=1814 px, y=413 px
1686389819.070064 Coordinates x=1814 px, y=411 px
1686389819.0859823 Coordinates x=1814 px, y=411 px
1686389819.1015544 Coordinates x=1437 px, y=357 px
1686389819.1165545 Coordinates x=1437 px, y=357 px
1686389819.1318064 Coordinates x=1437 px, y=357 px
1686389819.1477182 Coordinates x=1339 px, y=354 px
1686389819.1631641 Coordinates x=1339 px, y=354 px
1686389819.1791656 Coordinates x=1215 px, y=354 px
1686389819.1941829 Coordinates x=1215 px, y=354 px
1686389819.209714 Coordinates x=1185 px, y=353 px
1686389819.2257135 Coordinates x=1185 px, y=353 px
1686389819.2417135 Coordinates x=1167 px, y=351 px
1686389819.2577147 Coordinates x=1167 px, y=351 px
1686389819.2727158 Coordinates x=1164 px, y=351 px
1686389819.288731 Coordinates x=1164 px, y=351 px
1686389819.304577 Coordinates x=1164 px, y=351 px
1686389819.3205037 Coordinates x=1164 px, y=351 px
