
1686389307.6919937 Coordinates x=872 px, y=1091 px
1686389307.7076368 Coordinates x=872 px, y=1091 px
1686389307.723191 Coordinates x=161 px, y=1072 px
1686389307.7391806 Coordinates x=161 px, y=1072 px
1686389307.7552052 Coordinates x=97 px, y=1067 px
1686389307.7710094 Coordinates x=97 px, y=1067 px
1686389307.7869804 Coordinates x=73 px, y=1062 px
1686389307.8018658 Coordinates x=73 px, y=1062 px
1686389307.8173046 Coordinates x=59 px, y=1057 px
1686389307.8332753 Coordinates x=59 px, y=1057 px
1686389307.849006 Coordinates x=59 px, y=1057 px
1686389307.86449 Coordinates x=50 px, y=1058 px
1686389307.880374 Coordinates x=50 px, y=1058 px
1686389307.896384 Coordinates x=41 px, y=1067 px
1686389307.9118698 Coordinates x=41 px, y=1067 px
1686389307.9269774 Coordinates x=33 px, y=1082 px
1686389307.942613 Coordinates x=33 px, y=1082 px
1686389307.9577668 Coordinates x=28 px, y=1087 px
1686389307.9733934 Coordinates x=28 px, y=1087 px
1686389307.9894385 Coordinates x=25 px, y=1090 px
1686389308.0046296 Coordinates x=25 px, y=1090 px
1686389308.0198243 Coordinates x=22 px, y=1095 px
1686389308.0353205 Coordinates x=22 px, y=1095 px
1686389308.0512466 Coordinates x=19 px, y=1101 px
1686389308.0663135 Coordinates x=19 px, y=1101 px
1686389308.081886 Coordinates x=19 px, y=1101 px
1686389308.0980096 Coordinates x=18 px, y=1104 px
1686389308.1134045 Coordinates x=18 px, y=1104 px
1686389308.1295443 Coordinates x=16 px, y=1106 px
1686389308.1449056 Coordinates x=16 px, y=1106 px
1686389308.1604502 Coordinates x=15 px, y=1107 px
1686389308.17651 Coordinates x=15 px, y=1107 px
1686389308.1918664 Coordinates x=14 px, y=1108 px
1686389308.2072992 Coordinates x=14 px, y=1108 px
1686389308.2230985 Coordinates x=1 px, y=801 px
1686389308.2384634 Coordinates x=1 px, y=801 px
1686389308.2541373 Coordinates x=99 px, y=279 px
1686389308.2700753 Coordinates x=99 px, y=279 px
1686389308.2858348 Coordinates x=153 px, y=182 px
1686389308.3012004 Coordinates x=153 px, y=182 px
1686389308.3164778 Coordinates x=153 px, y=182 px
1686389308.3317523 Coordinates x=194 px, y=124 px
1686389308.3475103 Coordinates x=236 px, y=74 px
1686389308.3629339 Coordinates x=236 px, y=74 px
1686389308.3787117 Coordinates x=236 px, y=74 px
1686389308.3938317 Coordinates x=242 px, y=129 px
1686389308.409597 Coordinates x=242 px, y=129 px
1686389308.425625 Coordinates x=240 px, y=181 px
1686389308.4416568 Coordinates x=240 px, y=181 px
1686389308.4576354 Coordinates x=247 px, y=251 px
1686389308.47282 Coordinates x=247 px, y=251 px
1686389308.4880853 Coordinates x=248 px, y=287 px
1686389308.5040483 Coordinates x=248 px, y=287 px
1686389308.5200553 Coordinates x=250 px, y=315 px
1686389308.5359519 Coordinates x=250 px, y=315 px
1686389308.5511272 Coordinates x=249 px, y=332 px
1686389308.5671365 Coordinates x=249 px, y=332 px
1686389308.5824366 Coordinates x=249 px, y=332 px
1686389308.598484 Coordinates x=248 px, y=345 px
