1686394870.8180792 Coordinates x=1404 px, y=287 px
1686394870.8385994 Coordinates x=1407 px, y=284 px
1686394870.854046 Coordinates x=1407 px, y=284 px
1686394870.8695502 Coordinates x=1408 px, y=282 px
1686394870.885358 Coordinates x=1408 px, y=282 px
1686394870.9004004 Coordinates x=1408 px, y=282 px
1686394870.9167886 Coordinates x=1408 px, y=282 px
1686394870.9328535 Coordinates x=1409 px, y=282 px
1686394870.9488528 Coordinates x=1408 px, y=283 px
1686394870.9648483 Coordinates x=1408 px, y=283 px
1686394870.9809766 Coordinates x=1408 px, y=283 px
1686394870.995908 Coordinates x=1408 px, y=283 px
1686394871.011516 Coordinates x=1408 px, y=287 px
1686394871.0275433 Coordinates x=1408 px, y=287 px
1686394871.043555 Coordinates x=1408 px, y=288 px
1686394871.059562 Coordinates x=1408 px, y=288 px
1686394871.075463 Coordinates x=1408 px, y=288 px
1686394871.0915017 Coordinates x=1408 px, y=288 px
1686394871.1065898 Coordinates x=1408 px, y=289 px
1686394871.122601 Coordinates x=1408 px, y=289 px
1686394871.137942 Coordinates x=1407 px, y=289 px
1686394871.1535797 Coordinates x=1407 px, y=289 px
1686394871.1692295 Coordinates x=1406 px, y=289 px
1686394871.18523 Coordinates x=1406 px, y=289 px
1686394871.2005656 Coordinates x=1284 px, y=311 px
1686394871.21588 Coordinates x=1284 px, y=311 px
1686394871.2318654 Coordinates x=1135 px, y=328 px
1686394871.2478657 Coordinates x=1135 px, y=328 px
1686394871.2638903 Coordinates x=1060 px, y=340 px
1686394871.279867 Coordinates x=1060 px, y=340 px
1686394871.2958882 Coordinates x=1060 px, y=340 px
1686394871.3119273 Coordinates x=1006 px, y=351 px
1686394871.3269207 Coordinates x=1006 px, y=351 px
1686394871.342933 Coordinates x=971 px, y=357 px
1686394871.3582478 Coordinates x=971 px, y=357 px
1686394871.374174 Coordinates x=945 px, y=355 px
1686394871.3896518 Coordinates x=945 px, y=355 px
1686394871.4048836 Coordinates x=710 px, y=343 px
1686394871.4202847 Coordinates x=710 px, y=343 px
1686394871.4362538 Coordinates x=336 px, y=327 px
1686394871.4519088 Coordinates x=336 px, y=327 px
1686394871.4671755 Coordinates x=285 px, y=330 px
1686394871.4833097 Coordinates x=285 px, y=330 px
1686394871.4987078 Coordinates x=285 px, y=330 px
1686394871.5148265 Coordinates x=240 px, y=334 px
1686394871.529946 Coordinates x=240 px, y=334 px
1686394871.5453446 Coordinates x=213 px, y=328 px
1686394871.5605006 Coordinates x=213 px, y=328 px
1686394871.57649 Coordinates x=204 px, y=325 px
1686394871.591637 Coordinates x=204 px, y=325 px
1686394871.6071498 Coordinates x=190 px, y=320 px
1686394871.6225026 Coordinates x=190 px, y=320 px
1686394871.6372378 Coordinates x=178 px, y=318 px
1686394871.6528265 Coordinates x=178 px, y=318 px
1686394871.6679204 Coordinates x=169 px, y=317 px
1686394871.6832469 Coordinates x=169 px, y=317 px
1686394871.6987572 Coordinates x=162 px, y=317 px
1686394871.714695 Coordinates x=162 px, y=317 px
1686394871.7298143 Coordinates x=162 px, y=317 px
1686394871.7452056 Coordinates x=381 px, y=473 px
1686394871.7609417 Coordinates x=381 px, y=473 px
1686394871.7759826 Coordinates x=632 px, y=599 px
1686394871.7912135 Coordinates x=632 px, y=599 px
1686394871.8067634 Coordinates x=632 px, y=599 px
1686394871.82209 Coordinates x=710 px, y=641 px
1686394871.8380702 Coordinates x=759 px, y=676 px
1686394871.8535929 Coordinates x=759 px, y=676 px
1686394871.8695223 Coordinates x=779 px, y=687 px
1686394871.884903 Coordinates x=779 px, y=687 px
1686394871.900776 Coordinates x=779 px, y=687 px
1686394871.9160912 Coordinates x=786 px, y=692 px
1686394871.9311993 Coordinates x=786 px, y=692 px
1686394871.9473546 Coordinates x=790 px, y=700 px
1686394871.9630578 Coordinates x=790 px, y=700 px
1686394871.9787138 Coordinates x=790 px, y=702 px
1686394871.9941866 Coordinates x=790 px, y=702 px
1686394872.0106301 Coordinates x=506 px, y=635 px
1686394872.0254786 Coordinates x=506 px, y=635 px
1686394872.041311 Coordinates x=506 px, y=635 px
1686394872.0568795 Coordinates x=297 px, y=516 px
1686394872.0730822 Coordinates x=297 px, y=516 px
1686394872.0884209 Coordinates x=164 px, y=438 px
1686394872.1043458 Coordinates x=123 px, y=401 px
1686394872.120033 Coordinates x=123 px, y=401 px
1686394872.1360612 Coordinates x=93 px, y=376 px
1686394872.1516964 Coordinates x=93 px, y=376 px
1686394872.1670043 Coordinates x=93 px, y=376 px
1686394872.1822448 Coordinates x=75 px, y=356 px
1686394872.1975749 Coordinates x=75 px, y=356 px
1686394872.213726 Coordinates x=75 px, y=356 px
1686394872.2299685 Coordinates x=69 px, y=350 px
1686394872.2451594 Coordinates x=66 px, y=347 px
1686394872.2608356 Coordinates x=66 px, y=347 px
1686394872.2759945 Coordinates x=69 px, y=338 px
1686394872.2916048 Coordinates x=69 px, y=338 px
1686394872.3070216 Coordinates x=70 px, y=336 px
1686394872.323228 Coordinates x=70 px, y=336 px
1686394872.3387876 Coordinates x=73 px, y=332 px
1686394872.3540957 Coordinates x=73 px, y=332 px
1686394872.3696337 Coordinates x=73 px, y=332 px
1686394872.3851044 Coordinates x=77 px, y=331 px
1686394872.4003782 Coordinates x=77 px, y=331 px
1686394872.4163232 Coordinates x=84 px, y=325 px
1686394872.4315445 Coordinates x=84 px, y=325 px
1686394872.4473593 Coordinates x=89 px, y=323 px
1686394872.4625971 Coordinates x=89 px, y=323 px
1686394872.4786327 Coordinates x=89 px, y=323 px
1686394872.4934218 Coordinates x=104 px, y=320 px
1686394872.5092225 Coordinates x=127 px, y=319 px
1686394872.5242968 Coordinates x=127 px, y=319 px
1686394872.5406592 Coordinates x=162 px, y=312 px
1686394872.5558317 Coordinates x=162 px, y=312 px
1686394872.571284 Coordinates x=184 px, y=306 px
1686394872.5867248 Coordinates x=184 px, y=306 px
1686394872.6024668 Coordinates x=184 px, y=306 px
1686394872.6182811 Coordinates x=210 px, y=298 px
1686394872.634022 Coordinates x=210 px, y=298 px
1686394872.6498203 Coordinates x=224 px, y=297 px
1686394872.664894 Coordinates x=224 px, y=297 px
1686394872.6803586 Coordinates x=234 px, y=299 px
1686394872.696285 Coordinates x=234 px, y=299 px
1686394872.7118528 Coordinates x=245 px, y=299 px
1686394872.7274752 Coordinates x=245 px, y=299 px
1686394872.7427506 Coordinates x=250 px, y=298 px
1686394872.759083 Coordinates x=250 px, y=298 px
1686394872.7743526 Coordinates x=253 px, y=298 px
1686394872.7901723 Coordinates x=253 px, y=298 px
1686394872.806256 Coordinates x=257 px, y=298 px
1686394872.821375 Coordinates x=257 px, y=298 px
1686394872.8374043 Coordinates x=257 px, y=298 px
1686394872.852694 Coordinates x=259 px, y=298 px
1686394872.8681455 Coordinates x=259 px, y=298 px
1686394872.8835182 Coordinates x=261 px, y=298 px
1686394872.899873 Coordinates x=261 px, y=298 px
1686394872.914572 Coordinates x=294 px, y=295 px
1686394872.9298227 Coordinates x=294 px, y=295 px
1686394872.945896 Coordinates x=343 px, y=291 px
1686394872.9614289 Coordinates x=343 px, y=291 px
1686394872.977269 Coordinates x=394 px, y=298 px
1686394872.9933505 Coordinates x=394 px, y=298 px
1686394873.0094879 Coordinates x=419 px, y=299 px
1686394873.0245154 Coordinates x=419 px, y=299 px
1686394873.040136 Coordinates x=448 px, y=313 px
1686394873.0555725 Coordinates x=448 px, y=313 px
1686394873.071128 Coordinates x=470 px, y=318 px
1686394873.0864766 Coordinates x=470 px, y=318 px
1686394873.101741 Coordinates x=470 px, y=318 px
1686394873.117341 Coordinates x=470 px, y=318 px
1686394873.1321647 Coordinates x=478 px, y=318 px
1686394873.147385 Coordinates x=484 px, y=318 px
1686394873.1627219 Coordinates x=484 px, y=318 px
1686394873.1791184 Coordinates x=514 px, y=318 px
1686394873.1949713 Coordinates x=514 px, y=318 px
1686394873.2106595 Coordinates x=549 px, y=317 px
1686394873.2255561 Coordinates x=549 px, y=317 px
1686394873.2414749 Coordinates x=560 px, y=313 px
