1686395040.757093 Coordinates x=1015 px, y=346 px
1686395040.7730346 Coordinates x=1024 px, y=323 px
1686395040.788936 Coordinates x=1024 px, y=323 px
1686395040.804511 Coordinates x=1024 px, y=323 px
1686395040.8205414 Coordinates x=1028 px, y=317 px
1686395040.8363261 Coordinates x=1031 px, y=315 px
1686395040.85241 Coordinates x=1031 px, y=315 px
1686395040.8676586 Coordinates x=1031 px, y=315 px
1686395040.8832793 Coordinates x=1039 px, y=313 px
1686395040.899285 Coordinates x=1039 px, y=313 px
1686395040.9144545 Coordinates x=1045 px, y=313 px
1686395040.9303844 Coordinates x=1045 px, y=313 px
1686395040.9456575 Coordinates x=1053 px, y=310 px
1686395040.9618552 Coordinates x=1053 px, y=310 px
1686395040.9771876 Coordinates x=1056 px, y=310 px
1686395040.992982 Coordinates x=1056 px, y=310 px
1686395041.0085332 Coordinates x=1058 px, y=309 px
1686395041.024181 Coordinates x=1058 px, y=309 px
1686395041.039637 Coordinates x=1058 px, y=304 px
1686395041.0552354 Coordinates x=1058 px, y=304 px
1686395041.0708876 Coordinates x=1058 px, y=304 px
1686395041.086658 Coordinates x=1059 px, y=300 px
1686395041.1018035 Coordinates x=1059 px, y=295 px
1686395041.1177022 Coordinates x=1059 px, y=295 px
1686395041.133556 Coordinates x=1059 px, y=295 px
1686395041.1498003 Coordinates x=1024 px, y=292 px
1686395041.165965 Coordinates x=1024 px, y=292 px
1686395041.1819115 Coordinates x=737 px, y=276 px
1686395041.1977334 Coordinates x=737 px, y=276 px
1686395041.212912 Coordinates x=653 px, y=268 px
1686395041.228422 Coordinates x=653 px, y=268 px
1686395041.2438083 Coordinates x=592 px, y=254 px
1686395041.2598917 Coordinates x=592 px, y=254 px
1686395041.2752564 Coordinates x=543 px, y=241 px
1686395041.2914424 Coordinates x=543 px, y=241 px
1686395041.3066673 Coordinates x=518 px, y=240 px
1686395041.3227754 Coordinates x=518 px, y=240 px
1686395041.337951 Coordinates x=385 px, y=242 px
1686395041.353077 Coordinates x=385 px, y=242 px
1686395041.3679695 Coordinates x=329 px, y=248 px
1686395041.383494 Coordinates x=329 px, y=248 px
1686395041.3995023 Coordinates x=329 px, y=248 px
1686395041.4154625 Coordinates x=276 px, y=253 px
1686395041.4314735 Coordinates x=276 px, y=253 px
1686395041.447204 Coordinates x=276 px, y=253 px
1686395041.4625413 Coordinates x=239 px, y=260 px
1686395041.4781427 Coordinates x=223 px, y=265 px
1686395041.4937968 Coordinates x=223 px, y=265 px
1686395041.510022 Coordinates x=216 px, y=268 px
1686395041.5249872 Coordinates x=216 px, y=268 px
1686395041.5403817 Coordinates x=204 px, y=272 px
1686395041.5563204 Coordinates x=204 px, y=272 px
1686395041.5714962 Coordinates x=185 px, y=276 px
1686395041.5875285 Coordinates x=185 px, y=276 px
1686395041.6031196 Coordinates x=185 px, y=276 px
1686395041.6185236 Coordinates x=174 px, y=277 px
1686395041.6345866 Coordinates x=174 px, y=277 px
1686395041.649785 Coordinates x=164 px, y=276 px
1686395041.6652224 Coordinates x=164 px, y=276 px
1686395041.6810317 Coordinates x=162 px, y=276 px
1686395041.69721 Coordinates x=162 px, y=276 px
1686395041.712186 Coordinates x=162 px, y=276 px
1686395041.7276542 Coordinates x=172 px, y=277 px
1686395041.743175 Coordinates x=192 px, y=274 px
1686395041.7587488 Coordinates x=192 px, y=274 px
1686395041.773824 Coordinates x=231 px, y=271 px
1686395041.7890868 Coordinates x=231 px, y=271 px
1686395041.805155 Coordinates x=265 px, y=275 px
1686395041.8206785 Coordinates x=265 px, y=275 px
1686395041.835951 Coordinates x=265 px, y=275 px
1686395041.8512676 Coordinates x=284 px, y=273 px
1686395041.8667362 Coordinates x=284 px, y=273 px
1686395041.8819633 Coordinates x=294 px, y=272 px
1686395041.897633 Coordinates x=294 px, y=272 px
1686395041.9129665 Coordinates x=306 px, y=267 px
1686395041.9285812 Coordinates x=306 px, y=267 px
1686395041.9441862 Coordinates x=323 px, y=267 px
1686395041.9596372 Coordinates x=323 px, y=267 px
1686395041.9748404 Coordinates x=385 px, y=267 px
1686395041.9910789 Coordinates x=385 px, y=267 px
1686395042.007582 Coordinates x=444 px, y=266 px
1686395042.023575 Coordinates x=444 px, y=266 px
1686395042.0387409 Coordinates x=481 px, y=262 px
1686395042.0543861 Coordinates x=481 px, y=262 px
1686395042.0695739 Coordinates x=481 px, y=262 px
1686395042.0850892 Coordinates x=511 px, y=262 px
1686395042.1010003 Coordinates x=511 px, y=262 px
1686395042.117041 Coordinates x=565 px, y=352 px
1686395042.1330488 Coordinates x=565 px, y=352 px
1686395042.1491237 Coordinates x=584 px, y=390 px
1686395042.1647744 Coordinates x=584 px, y=390 px
1686395042.1807644 Coordinates x=586 px, y=401 px
1686395042.1967192 Coordinates x=586 px, y=401 px
1686395042.2127714 Coordinates x=589 px, y=403 px
1686395042.2287726 Coordinates x=589 px, y=403 px
1686395042.244847 Coordinates x=591 px, y=407 px
1686395042.260515 Coordinates x=591 px, y=407 px
1686395042.2765598 Coordinates x=591 px, y=409 px
1686395042.2924714 Coordinates x=591 px, y=409 px
1686395042.308609 Coordinates x=590 px, y=402 px
1686395042.324606 Coordinates x=590 px, y=402 px
1686395042.340664 Coordinates x=590 px, y=389 px
1686395042.355896 Coordinates x=590 px, y=389 px
1686395042.3713229 Coordinates x=594 px, y=372 px
1686395042.3873293 Coordinates x=594 px, y=372 px
1686395042.4032211 Coordinates x=606 px, y=357 px
1686395042.418498 Coordinates x=606 px, y=357 px
1686395042.4341145 Coordinates x=606 px, y=357 px
1686395042.4501262 Coordinates x=640 px, y=335 px
1686395042.4659119 Coordinates x=640 px, y=335 px
1686395042.4816167 Coordinates x=686 px, y=318 px
1686395042.4974022 Coordinates x=686 px, y=318 px
1686395042.5130997 Coordinates x=709 px, y=303 px
1686395042.5284224 Coordinates x=709 px, y=303 px
1686395042.543573 Coordinates x=721 px, y=297 px
1686395042.5590749 Coordinates x=721 px, y=297 px
1686395042.5745804 Coordinates x=733 px, y=294 px
1686395042.589679 Coordinates x=733 px, y=294 px
1686395042.6055822 Coordinates x=733 px, y=294 px
1686395042.6215255 Coordinates x=737 px, y=291 px
1686395042.637088 Coordinates x=738 px, y=289 px
1686395042.65239 Coordinates x=738 px, y=289 px
1686395042.6677105 Coordinates x=738 px, y=289 px
1686395042.6828015 Coordinates x=740 px, y=288 px
1686395042.697824 Coordinates x=740 px, y=288 px
1686395042.7135289 Coordinates x=751 px, y=286 px
1686395042.7293463 Coordinates x=751 px, y=286 px
1686395042.7453146 Coordinates x=758 px, y=292 px
1686395042.7611492 Coordinates x=758 px, y=292 px
1686395042.7773266 Coordinates x=757 px, y=305 px
1686395042.7924027 Coordinates x=757 px, y=305 px
1686395042.8085587 Coordinates x=754 px, y=323 px
1686395042.8243878 Coordinates x=754 px, y=323 px
1686395042.8395593 Coordinates x=754 px, y=323 px
1686395042.8546944 Coordinates x=747 px, y=336 px
1686395042.870777 Coordinates x=747 px, y=336 px
1686395042.8862858 Coordinates x=746 px, y=344 px
1686395042.9021292 Coordinates x=746 px, y=344 px
1686395042.9178162 Coordinates x=744 px, y=353 px
1686395042.9329169 Coordinates x=744 px, y=353 px
1686395042.9480128 Coordinates x=743 px, y=360 px
1686395042.9640906 Coordinates x=743 px, y=360 px
1686395042.9798348 Coordinates x=734 px, y=373 px
1686395042.9954085 Coordinates x=734 px, y=373 px
1686395043.0116355 Coordinates x=729 px, y=379 px
1686395043.0263042 Coordinates x=729 px, y=379 px
1686395043.0420837 Coordinates x=728 px, y=380 px
1686395043.058209 Coordinates x=728 px, y=380 px
1686395043.0737853 Coordinates x=728 px, y=380 px
1686395043.0889008 Coordinates x=724 px, y=384 px
1686395043.1045403 Coordinates x=724 px, y=384 px
1686395043.119672 Coordinates x=716 px, y=390 px
1686395043.1348913 Coordinates x=716 px, y=390 px
1686395043.1507857 Coordinates x=716 px, y=390 px
1686395043.1665397 Coordinates x=716 px, y=391 px
1686395043.1817229 Coordinates x=716 px, y=391 px
1686395043.1971567 Coordinates x=716 px, y=391 px
1686395043.2125087 Coordinates x=710 px, y=390 px
1686395043.2283087 Coordinates x=710 px, y=390 px
1686395043.2443118 Coordinates x=710 px, y=389 px
1686395043.260044 Coordinates x=710 px, y=389 px
1686395043.2752166 Coordinates x=724 px, y=391 px
1686395043.2912269 Coordinates x=724 px, y=391 px
1686395043.3061225 Coordinates x=724 px, y=391 px
1686395043.3213737 Coordinates x=755 px, y=391 px
1686395043.3371034 Coordinates x=755 px, y=391 px
1686395043.352787 Coordinates x=784 px, y=391 px
1686395043.3679833 Coordinates x=784 px, y=391 px
1686395043.3841734 Coordinates x=808 px, y=398 px
1686395043.400099 Coordinates x=808 px, y=398 px
1686395043.4152343 Coordinates x=821 px, y=399 px
1686395043.4307227 Coordinates x=821 px, y=399 px
1686395043.4460704 Coordinates x=834 px, y=401 px
1686395043.4619217 Coordinates x=834 px, y=401 px
1686395043.477916 Coordinates x=845 px, y=403 px
1686395043.4933257 Coordinates x=845 px, y=403 px
1686395043.5097227 Coordinates x=850 px, y=406 px
1686395043.5249474 Coordinates x=850 px, y=406 px
1686395043.5403366 Coordinates x=850 px, y=406 px
1686395043.5555727 Coordinates x=875 px, y=409 px
1686395043.5712984 Coordinates x=875 px, y=409 px
1686395043.5864081 Coordinates x=933 px, y=417 px
1686395043.6015654 Coordinates x=933 px, y=417 px
1686395043.617017 Coordinates x=961 px, y=429 px
1686395043.6322024 Coordinates x=961 px, y=429 px
1686395043.6473403 Coordinates x=977 px, y=442 px
1686395043.6624374 Coordinates x=977 px, y=442 px
1686395043.6774294 Coordinates x=981 px, y=448 px
1686395043.6930704 Coordinates x=981 px, y=448 px
1686395043.7086718 Coordinates x=982 px, y=448 px
1686395043.7236998 Coordinates x=982 px, y=448 px
1686395043.7395952 Coordinates x=976 px, y=448 px
1686395043.755125 Coordinates x=976 px, y=448 px
1686395043.7712686 Coordinates x=968 px, y=447 px
1686395043.7868848 Coordinates x=968 px, y=447 px
1686395043.8019984 Coordinates x=968 px, y=447 px
1686395043.8172102 Coordinates x=956 px, y=446 px
1686395043.8332942 Coordinates x=956 px, y=446 px
1686395043.849233 Coordinates x=945 px, y=445 px
1686395043.865371 Coordinates x=945 px, y=445 px
1686395043.8810399 Coordinates x=932 px, y=442 px
1686395043.8966668 Coordinates x=932 px, y=442 px
1686395043.9120464 Coordinates x=927 px, y=441 px
1686395043.9280932 Coordinates x=927 px, y=441 px
1686395043.9433513 Coordinates x=923 px, y=439 px
1686395043.9595873 Coordinates x=923 px, y=439 px
1686395043.9752953 Coordinates x=922 px, y=433 px
1686395043.991439 Coordinates x=922 px, y=433 px
1686395044.0078492 Coordinates x=921 px, y=427 px
1686395044.0233178 Coordinates x=921 px, y=427 px
1686395044.0396523 Coordinates x=920 px, y=426 px
1686395044.0553784 Coordinates x=920 px, y=426 px
1686395044.071567 Coordinates x=920 px, y=426 px
1686395044.0862498 Coordinates x=918 px, y=426 px
1686395044.1024532 Coordinates x=918 px, y=426 px
1686395044.1176443 Coordinates x=916 px, y=426 px
1686395044.133354 Coordinates x=916 px, y=426 px
1686395044.1497073 Coordinates x=919 px, y=428 px
1686395044.1651661 Coordinates x=919 px, y=428 px
1686395044.1810691 Coordinates x=955 px, y=434 px
1686395044.1965697 Coordinates x=955 px, y=434 px
1686395044.2126644 Coordinates x=955 px, y=434 px
1686395044.2286246 Coordinates x=1000 px, y=443 px
1686395044.24393 Coordinates x=1000 px, y=443 px
1686395044.2600865 Coordinates x=1036 px, y=442 px
1686395044.27507 Coordinates x=1056 px, y=440 px
1686395044.2903748 Coordinates x=1056 px, y=440 px
1686395044.3055017 Coordinates x=1063 px, y=438 px
1686395044.3219612 Coordinates x=1063 px, y=438 px
1686395044.3372211 Coordinates x=1063 px, y=438 px
1686395044.3527095 Coordinates x=1063 px, y=438 px
1686395044.3684168 Coordinates x=1069 px, y=436 px
1686395044.3844707 Coordinates x=1085 px, y=433 px
1686395044.3992019 Coordinates x=1085 px, y=433 px
1686395044.415054 Coordinates x=1141 px, y=435 px
1686395044.4310157 Coordinates x=1141 px, y=435 px
1686395044.446249 Coordinates x=1202 px, y=431 px
1686395044.4618044 Coordinates x=1202 px, y=431 px
1686395044.4770107 Coordinates x=1246 px, y=431 px
1686395044.4919257 Coordinates x=1246 px, y=431 px
1686395044.5079255 Coordinates x=1258 px, y=433 px
