1686482409.493279 Coordinates x=1040 px, y=137 px
1686482409.5183835 Coordinates x=1040 px, y=137 px
1686482409.5364892 Coordinates x=1040 px, y=129 px
1686482409.552143 Coordinates x=1040 px, y=129 px
1686482409.567775 Coordinates x=1040 px, y=120 px
1686482409.5838895 Coordinates x=1040 px, y=120 px
1686482409.60191 Coordinates x=1040 px, y=110 px
1686482409.6175187 Coordinates x=1040 px, y=110 px
1686482409.6331875 Coordinates x=1043 px, y=97 px
1686482409.6487942 Coordinates x=1043 px, y=97 px
1686482409.664417 Coordinates x=1044 px, y=87 px
1686482409.6804075 Coordinates x=1044 px, y=87 px
1686482409.6960557 Coordinates x=1044 px, y=77 px
1686482409.7119303 Coordinates x=1044 px, y=77 px
1686482409.7275374 Coordinates x=1037 px, y=65 px
1686482409.7429886 Coordinates x=1037 px, y=65 px
1686482409.7587755 Coordinates x=1025 px, y=61 px
1686482409.7743223 Coordinates x=1025 px, y=61 px
1686482409.7905915 Coordinates x=1025 px, y=61 px
1686482409.8064668 Coordinates x=999 px, y=66 px
1686482409.822059 Coordinates x=999 px, y=66 px
1686482409.8375278 Coordinates x=982 px, y=75 px
1686482409.8532834 Coordinates x=982 px, y=75 px
1686482409.868879 Coordinates x=970 px, y=82 px
1686482409.8848896 Coordinates x=964 px, y=87 px
1686482409.9005818 Coordinates x=964 px, y=87 px
1686482409.916386 Coordinates x=964 px, y=87 px
1686482409.9320295 Coordinates x=866 px, y=205 px
1686482409.9476426 Coordinates x=866 px, y=205 px
1686482409.9632697 Coordinates x=817 px, y=236 px
1686482409.9791737 Coordinates x=817 px, y=236 px
1686482409.9950657 Coordinates x=775 px, y=251 px
1686482410.0105786 Coordinates x=775 px, y=251 px
1686482410.0262957 Coordinates x=755 px, y=257 px
1686482410.0417576 Coordinates x=755 px, y=257 px
1686482410.0575464 Coordinates x=755 px, y=257 px
1686482410.0730102 Coordinates x=735 px, y=266 px
1686482410.0891612 Coordinates x=735 px, y=266 px
1686482410.1048625 Coordinates x=720 px, y=280 px
1686482410.120497 Coordinates x=720 px, y=280 px
1686482410.1361308 Coordinates x=709 px, y=294 px
1686482410.1518698 Coordinates x=709 px, y=294 px
1686482410.1675022 Coordinates x=703 px, y=300 px
1686482410.1834064 Coordinates x=703 px, y=300 px
1686482410.1992767 Coordinates x=700 px, y=304 px
1686482410.214903 Coordinates x=700 px, y=304 px
1686482410.2305398 Coordinates x=693 px, y=309 px
1686482410.24613 Coordinates x=693 px, y=309 px
1686482410.261556 Coordinates x=678 px, y=310 px
1686482410.2775865 Coordinates x=678 px, y=310 px
1686482410.2932324 Coordinates x=669 px, y=304 px
1686482410.309087 Coordinates x=669 px, y=304 px
1686482410.324286 Coordinates x=661 px, y=290 px
1686482410.3399343 Coordinates x=661 px, y=290 px
1686482410.3554301 Coordinates x=639 px, y=262 px
1686482410.3710327 Coordinates x=639 px, y=262 px
1686482410.3871067 Coordinates x=639 px, y=262 px
1686482410.4031134 Coordinates x=627 px, y=244 px
1686482410.4190922 Coordinates x=627 px, y=244 px
1686482410.4341037 Coordinates x=617 px, y=222 px
1686482410.449472 Coordinates x=617 px, y=222 px
1686482410.4647527 Coordinates x=616 px, y=206 px
1686482410.4808233 Coordinates x=616 px, y=206 px
1686482410.4967344 Coordinates x=629 px, y=183 px
1686482410.5127447 Coordinates x=629 px, y=183 px
1686482410.5283859 Coordinates x=645 px, y=165 px
1686482410.5442696 Coordinates x=645 px, y=165 px
1686482410.5596938 Coordinates x=665 px, y=146 px
1686482410.575178 Coordinates x=665 px, y=146 px
1686482410.5906706 Coordinates x=741 px, y=115 px
1686482410.6065295 Coordinates x=741 px, y=115 px
1686482410.6218705 Coordinates x=741 px, y=115 px
1686482410.637807 Coordinates x=912 px, y=83 px
1686482410.6538358 Coordinates x=912 px, y=83 px
1686482410.669261 Coordinates x=989 px, y=81 px
1686482410.6846297 Coordinates x=989 px, y=81 px
1686482410.7002451 Coordinates x=1037 px, y=76 px
1686482410.7156308 Coordinates x=1037 px, y=76 px
1686482410.735808 Coordinates x=1066 px, y=71 px
1686482410.7514977 Coordinates x=1066 px, y=71 px
1686482410.76693 Coordinates x=1091 px, y=68 px
1686482410.785116 Coordinates x=1091 px, y=68 px
1686482410.800962 Coordinates x=1092 px, y=68 px
1686482410.816608 Coordinates x=1092 px, y=68 px
1686482410.8321908 Coordinates x=1092 px, y=69 px
1686482410.84784 Coordinates x=1092 px, y=69 px
1686482410.8633757 Coordinates x=1091 px, y=71 px
1686482410.8791325 Coordinates x=1091 px, y=71 px
1686482410.8948774 Coordinates x=1090 px, y=76 px
1686482410.9105039 Coordinates x=1090 px, y=76 px
1686482410.926187 Coordinates x=1090 px, y=76 px
1686482410.941816 Coordinates x=1086 px, y=79 px
1686482410.9574766 Coordinates x=1081 px, y=80 px
1686482410.9729326 Coordinates x=1081 px, y=80 px
1686482410.9887338 Coordinates x=1072 px, y=79 px
1686482411.0044932 Coordinates x=1072 px, y=79 px
1686482411.0201101 Coordinates x=1062 px, y=77 px
1686482411.036006 Coordinates x=1062 px, y=77 px
1686482411.051105 Coordinates x=1062 px, y=77 px
1686482411.0665312 Coordinates x=1057 px, y=77 px
1686482411.081771 Coordinates x=1057 px, y=77 px
1686482411.0977736 Coordinates x=1046 px, y=80 px
1686482411.1137974 Coordinates x=1046 px, y=80 px
1686482411.129388 Coordinates x=1038 px, y=83 px
1686482411.1515684 Coordinates x=1038 px, y=83 px
1686482411.167363 Coordinates x=1032 px, y=88 px
1686482411.1834855 Coordinates x=1032 px, y=88 px
1686482411.1993554 Coordinates x=1028 px, y=91 px
1686482411.2148557 Coordinates x=1028 px, y=91 px
1686482411.2304757 Coordinates x=1026 px, y=94 px
1686482411.2462096 Coordinates x=1026 px, y=94 px
1686482411.2618117 Coordinates x=1125 px, y=122 px
