fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
74,77,186,23,26,57,1
41,41,101,20,22,54,1
33,33,81,48,48,109,0
157,166,382,99,102,242,0
15,18,38,59,61,141,0
15,20,45,13,19,46,0
23,24,54,19,20,53,1
192,200,457,60,60,132,1
127,135,316,103,108,238,1
178,184,683,14,15,41,0
29,32,71,35,36,82,0
48,48,74,122,125,253,0
131,134,33,108,116,118,0
64,67,387,32,32,59,1
102,106,105,126,129,186,0
24,24,55,17,17,38,1
27,27,60,40,41,88,0
22,23,95,62,64,9,1
169,175,205,115,120,152,1
170,183,32,120,126,13,0
39,39,85,14,15,35,1
124,131,276,77,81,134,1
51,57,124,34,35,75,0
265,275,396,147,155,109,1
276,295,17,272,293,27,0
154,162,2,118,139,29,1
122,126,125,36,42,50,0
52,56,102,71,73,27,1
180,188,48,268,275,88,0
193,199,39,113,124,27,0
50,53,113,35,37,84,0
361,371,176,274,296,84,0
233,243,48,239,249,248,0
107,113,226,81,95,216,0
15,17,30,30,36,72,1
374,388,20,264,278,210,0
27,43,71,59,66,35,0
140,148,175,97,102,92,0
133,142,57,174,176,4,0
72,77,74,63,68,10,1
106,112,243,64,67,143,0
93,98,217,114,121,265,0
197,208,490,104,109,243,0
101,103,233,134,143,307,0
219,244,563,158,166,383,0
184,195,424,147,157,356,1
276,288,635,157,162,367,0
102,109,252,79,80,174,0
155,160,381,133,137,324,0
301,315,700,106,108,241,0
355,375,409,253,269,428,0
222,235,13,105,109,94,0
349,372,241,185,192,148,1
395,419,494,377,392,352,0
390,400,67,207,218,100,0
186,196,228,140,152,71,1
56,57,60,56,58,49,1
288,298,521,257,268,204,1
84,87,84,8,8,109,1
51,54,65,27,30,30,1
61,62,147,85,88,161,0
254,280,37,313,331,356,1
325,340,160,404,460,230,0
253,273,188,305,327,162,0
354,383,4,230,249,135,1
298,311,77,302,316,246,1
280,294,18,137,150,116,1
148,154,321,88,91,155,0
189,195,296,122,126,183,1
17,20,31,62,62,21,1
97,99,218,36,37,81,0
194,197,113,151,160,71,0
124,137,29,25,32,48,1
365,380,758,211,229,258,1
87,94,0,50,51,23,0
86,89,3,110,118,26,0
180,191,28,242,255,1,1
102,115,278,83,85,126,1
298,306,106,105,107,85,0
nan,nan,nan,nan,nan,nan,nan
144,149,4,193,199,15,1
247,259,24,249,255,322,1
137,145,4,196,205,23,1
82,85,305,0,0,424,1
294,311,0,205,212,113,1
353,366,113,212,224,25,0
209,225,84,237,246,9,1
216,229,267,109,117,22,1
138,144,19,93,100,102,0
267,283,2,309,321,47,0
336,351,70,366,384,222,0
106,170,111,74,115,180,0
103,107,53,191,196,82,1
220,229,506,206,219,488,0
118,124,0,68,73,48,0
273,301,47,438,452,78,0
404,421,51,411,428,123,0
224,234,70,238,246,137,0
117,125,118,153,161,58,1
316,337,0,221,228,38,0
