fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
0,4,295,2,2,140,1
1,0,95,0,0,82,1
1,2,128,1,1,147,0
1,6,226,0,0,100,0
2,2,16,0,0,54,1
0,3,83,1,1,69,0
0,2,53,2,0,246,1
2,14,86,0,5,50,0
2,6,227,0,5,115,0
3,4,73,5,12,276,0
2,4,50,1,0,52,1
2,0,169,1,2,79,0
2,4,81,0,5,41,1
2,20,217,1,7,88,1
0,0,96,1,2,181,1
0,3,56,0,3,65,1
0,0,66,0,0,67,0
1,2,104,2,1,135,1
2,16,42,2,8,97,0
1,29,109,0,12,60,1
2,0,74,1,0,39,1
3,3,119,0,1,19,1
2,6,159,1,12,76,1
0,0,11,0,0,94,0
4,33,174,5,10,109,1
2,12,33,0,8,305,0
0,4,191,0,3,99,0
0,0,17,0,0,63,1
2,20,75,3,4,89,0
0,4,117,1,2,53,1
2,4,110,0,5,45,0
4,30,204,4,27,237,1
0,4,19,1,3,54,1
3,5,81,0,4,13,1
3,12,63,3,16,420,1
1,2,35,0,5,96,0
0,13,389,2,5,267,0
0,12,42,3,6,11,1
1,10,21,1,6,53,0
3,6,33,3,3,109,0
1,7,251,1,5,219,0
0,12,387,2,7,161,1
2,11,3,1,2,64,0
0,16,254,0,5,32,0
1,10,68,0,5,137,0
2,11,117,0,12,60,1
0,4,229,3,3,93,0
2,18,22,4,8,77,0
2,14,41,1,6,116,0
0,4,33,0,1,77,1
2,21,425,1,14,73,1
1,2,81,0,4,32,1
0,6,32,0,6,53,1
0,11,133,0,2,68,0
2,9,89,1,6,86,0
8,1,162,2,0,0,1
0,22,763,2,13,359,0
0,6,6,1,3,46,0
0,8,36,1,0,78,0
1,2,16,2,3,7,1
1,11,316,2,2,179,1
4,11,158,3,6,136,0
2,10,60,0,6,70,0
1,24,96,1,18,113,1
1,14,57,1,10,110,0
0,0,176,0,0,135,1
1,23,29,0,5,134,1
5,47,191,0,28,62,0
1,22,134,2,9,126,1
1,17,266,4,7,127,1
2,16,153,0,0,80,0
4,35,70,2,16,0,1
9,57,389,5,26,260,0
1,12,51,0,5,83,0
2,18,58,1,10,123,1
3,12,456,0,2,152,1
2,8,32,1,3,37,0
3,11,23,2,10,70,1
2,16,11,1,8,41,1
3,34,467,5,18,268,1
1,10,139,0,6,55,1
2,16,0,0,8,34,0
