1687083499.955683 Coordinates x=1091 px, y=1459 px
1687083499.9716914 Coordinates x=1096 px, y=1456 px
1687083499.9867852 Coordinates x=1096 px, y=1456 px
1687083500.0023494 Coordinates x=1097 px, y=1454 px
1687083500.0174963 Coordinates x=1097 px, y=1454 px
1687083500.0336354 Coordinates x=1110 px, y=1140 px
1687083500.0492327 Coordinates x=1110 px, y=1140 px
1687083500.0651422 Coordinates x=956 px, y=656 px
1687083500.0803862 Coordinates x=956 px, y=656 px
1687083500.0962307 Coordinates x=956 px, y=656 px
1687083500.1118028 Coordinates x=912 px, y=557 px
1687083500.1272218 Coordinates x=912 px, y=557 px
1687083500.1428545 Coordinates x=872 px, y=504 px
1687083500.1584287 Coordinates x=872 px, y=504 px
1687083500.174174 Coordinates x=845 px, y=466 px
1687083500.1892495 Coordinates x=845 px, y=466 px
1687083500.2046728 Coordinates x=823 px, y=429 px
1687083500.2204611 Coordinates x=823 px, y=429 px
1687083500.2357833 Coordinates x=813 px, y=413 px
1687083500.2511537 Coordinates x=813 px, y=413 px
1687083500.2672915 Coordinates x=795 px, y=398 px
1687083500.2825465 Coordinates x=795 px, y=398 px
1687083500.298041 Coordinates x=472 px, y=349 px
1687083500.3134878 Coordinates x=472 px, y=349 px
1687083500.3287756 Coordinates x=472 px, y=349 px
1687083500.3445694 Coordinates x=373 px, y=357 px
1687083500.3599005 Coordinates x=319 px, y=363 px
1687083500.375792 Coordinates x=319 px, y=363 px
1687083500.3909333 Coordinates x=319 px, y=363 px
1687083500.406534 Coordinates x=280 px, y=362 px
1687083500.4221606 Coordinates x=280 px, y=362 px
1687083500.4384124 Coordinates x=262 px, y=362 px
1687083500.4543493 Coordinates x=262 px, y=362 px
1687083500.4691305 Coordinates x=235 px, y=361 px
1687083500.4844553 Coordinates x=235 px, y=361 px
1687083500.500096 Coordinates x=214 px, y=364 px
1687083500.5152347 Coordinates x=214 px, y=364 px
1687083500.531228 Coordinates x=200 px, y=373 px
1687083500.54676 Coordinates x=200 px, y=373 px
1687083500.5625985 Coordinates x=204 px, y=378 px
1687083500.5783212 Coordinates x=204 px, y=378 px
1687083500.5943356 Coordinates x=204 px, y=378 px
1687083500.6102004 Coordinates x=236 px, y=389 px
1687083500.6255202 Coordinates x=236 px, y=389 px
1687083500.6409495 Coordinates x=270 px, y=404 px
1687083500.6563678 Coordinates x=270 px, y=404 px
1687083500.6716046 Coordinates x=308 px, y=409 px
1687083500.6868572 Coordinates x=308 px, y=409 px
1687083500.7018998 Coordinates x=308 px, y=409 px
1687083500.7170327 Coordinates x=344 px, y=419 px
1687083500.7327096 Coordinates x=344 px, y=419 px
1687083500.7489092 Coordinates x=377 px, y=427 px
1687083500.7646601 Coordinates x=394 px, y=431 px
1687083500.7803197 Coordinates x=394 px, y=431 px
1687083500.795327 Coordinates x=406 px, y=435 px
1687083500.8114007 Coordinates x=406 px, y=435 px
1687083500.8274012 Coordinates x=406 px, y=435 px
1687083500.8427851 Coordinates x=450 px, y=441 px
1687083500.858482 Coordinates x=450 px, y=441 px
1687083500.8736618 Coordinates x=503 px, y=439 px
1687083500.8896992 Coordinates x=503 px, y=439 px
1687083500.9057224 Coordinates x=533 px, y=434 px
1687083500.9214156 Coordinates x=533 px, y=434 px
1687083500.936421 Coordinates x=548 px, y=433 px
1687083500.9514601 Coordinates x=548 px, y=433 px
1687083500.966769 Coordinates x=548 px, y=433 px
