set,screen,num_of_fixes,intersections
1,1,2,1
1,2,8,1
1,3,5,0
1,4,8,0
1,5,1,0
1,6,1,0
1,7,2,0
1,8,5,0
1,9,6,0
1,10,1,1
2,1,2,0
2,2,7,1
2,3,4,0
2,4,2,2
2,5,5,0
2,6,2,0
2,7,4,0
2,8,5,0
2,9,1,0
2,10,3,0
3,1,2,1
3,2,6,0
3,3,3,0
3,4,6,1
3,5,23,0
3,6,14,2
3,7,2,0
3,8,5,3
3,9,16,1
3,10,6,1
5,1,3,0
5,2,6,0
5,3,11,0
5,4,8,1
5,5,5,4
5,6,6,2
5,7,8,1
5,8,8,0
5,9,24,2
5,10,7,0
6,1,9,2
6,2,9,1
6,3,23,3
6,4,20,1
6,5,11,3
6,6,15,3
6,7,3,1
6,8,20,1
6,9,7,0
6,10,6,3
7,1,3,2
7,2,21,2
7,3,23,2
7,4,14,2
7,5,14,0
7,6,15,1
7,7,14,0
7,8,8,3
7,9,9,0
7,10,2,0
8,1,1,0
8,2,16,1
8,3,8,2
8,4,18,0
8,5,7,0
8,6,2,0
8,7,14,0
8,8,19,0
8,9,3,0
8,10,3,0
9,1,7,2
9,2,6,0
9,3,7,1
9,4,7,1
9,5,13,2
9,6,9,0
9,7,5,1
9,8,14,3
9,9,4,0
9,10,5,2
10,1,20,1
10,2,21,1
10,3,14,2
10,4,16,0
10,5,8,1
10,6,13,0
10,7,21,1
10,8,18,4
10,9,11,0
10,10,20,4
