set,screen,num_of_jumps,intersections
1,1,15,14
1,2,23,1
1,3,6,2
1,4,9,5
1,5,6,4
1,6,7,3
1,7,13,13
1,8,7,0
1,9,22,0
1,10,4,0
2,1,5,0
2,2,35,1
2,3,28,4
2,4,25,6
2,5,16,7
2,6,8,0
2,7,11,0
2,8,14,7
2,9,32,2
2,10,32,14
3,1,4,1
3,2,22,8
3,3,4,0
3,4,27,10
3,5,18,6
3,6,36,8
3,7,12,6
3,8,5,0
3,9,25,10
3,10,21,0
4,1,6,2
4,2,13,5
4,3,42,17
4,4,5,0
4,5,5,2
4,6,20,0
4,7,7,10
4,8,19,4
4,9,15,1
4,10,9,4
5,1,33,4
5,2,12,0
5,3,13,0
5,4,5,0
5,5,18,4
5,6,17,2
5,7,24,0
5,8,32,6
5,9,52,8
5,10,19,2
7,1,9,0
7,2,12,0
7,3,39,6
7,4,34,19
7,5,46,7
7,6,27,6
7,7,24,4
7,9,10,0
7,10,5,2
8,1,13,0
8,2,35,4
8,3,21,7
8,4,26,2
8,5,49,6
8,6,15,8
8,7,15,8
8,8,19,16
8,9,49,3
8,10,20,10
9,1,14,1
9,2,38,4
9,3,23,6
9,4,6,2
9,5,14,2
9,6,59,4
9,7,18,3
9,8,43,2
9,9,23,0
9,10,22,4
10,1,34,6
10,2,20,0
10,3,28,18
10,4,37,0
10,5,33,4
10,6,47,0
10,7,46,0
10,8,58,31
10,9,12,4
10,10,93,12
