num,type,x1,y1,x2,y2
1,src,466.828125,40.0,2413.171875,150.0
1,tgt1,499.8125,300.0,2380.171875,410.0
1,tgt2,466.828125,567.0,2413.171875,677.0
2,src,54.453125,40.0,2825.53125,290.0
2,tgt1,70.953125,440.0,2809.03125,690.0
2,tgt2,21.484375,847.0,2858.515625,1097.0
3,src,70.453125,40.0,2775.53125,360.0
3,tgt1,70.4375,510.0,2775.546875,830.0
3,tgt2,37.453125,987.0,2808.546875,1307.0
4,src,37.953125,40.0,2842.046875,290.0
4,tgt1,37.96875,440.0,2842.03125,690.0
4,tgt2,70.96875,847.0,2809.03125,1097.0
5,src,21.46875,40.0,2858.53125,290.0
5,tgt1,21.46875,440.0,2858.53125,690.0
5,tgt2,37.96875,847.0,2842.03125,1097.0
6,src,21.453125,40.0,2858.53125,290.0
6,tgt1,136.921875,440.0,2743.078125,690.0
6,tgt2,21.46875,847.0,2858.53125,1097.0
7,src,53.921875,40.0,2792.0625,360.0
7,tgt1,20.953125,510.0,2825.03125,760.0
7,tgt2,37.46875,917.0,2808.53125,1237.0
8,src,136.921875,40.0,2743.0625,220.0
8,tgt1,21.46875,370.0,2858.53125,550.0
8,tgt2,70.953125,707.0,2809.046875,887.0
9,src,153.421875,40.0,2726.5625,150.0
9,tgt1,120.4375,300.0,2759.5625,480.0
9,tgt2,136.9375,637.0,2743.0625,817.0
10,src,285.375,40.0,2594.609375,150.0
10,tgt1,54.46875,300.0,2825.53125,410.0
10,tgt2,54.453125,567.0,2825.53125,677.0
